Zancada,Metodo,Fase,Inicio_fase,Fin_fase,Duración_fase
1,CSV,Heel strike - Loading response,00:02.060,00:02.173,00:00.112
1,CSV,Mid-stance,00:02.173,00:02.397,00:00.224
1,CSV,Terminal stance,00:02.397,00:02.622,00:00.224
1,CSV,Pre-swing,00:02.622,00:02.734,00:00.112
1,CSV,Toe-off,00:02.734,00:02.880,00:00.145
1,CSV,Mid-swing,00:02.880,00:03.038,00:00.157
1,CSV,Terminal swing,00:03.038,00:03.184,00:00.145
1,Video,Heel strike - Loading response,00:01.995,00:02.108,00:00.113
1,Video,Mid-stance,00:02.108,00:02.334,00:00.226
1,Video,Terminal stance,00:02.334,00:02.561,00:00.226
1,Video,Pre-swing,00:02.561,00:02.674,00:00.113
1,Video,Toe-off,00:02.674,00:02.822,00:00.147
1,Video,Mid-swing,00:02.822,00:02.980,00:00.158
1,Video,Terminal swing,00:02.980,00:03.128,00:00.147
2,CSV,Heel strike - Loading response,00:03.184,00:03.290,00:00.106
2,CSV,Mid-stance,00:03.290,00:03.502,00:00.212
2,CSV,Terminal stance,00:03.502,00:03.714,00:00.212
2,CSV,Pre-swing,00:03.714,00:03.821,00:00.106
2,CSV,Toe-off,00:03.821,00:03.959,00:00.138
2,CSV,Mid-swing,00:03.959,00:04.107,00:00.148
2,CSV,Terminal swing,00:04.107,00:04.246,00:00.138
2,Video,Heel strike - Loading response,00:03.128,00:03.234,00:00.106
2,Video,Mid-stance,00:03.234,00:03.447,00:00.213
2,Video,Terminal stance,00:03.447,00:03.661,00:00.213
2,Video,Pre-swing,00:03.661,00:03.767,00:00.106
2,Video,Toe-off,00:03.767,00:03.906,00:00.138
2,Video,Mid-swing,00:03.906,00:04.055,00:00.149
2,Video,Terminal swing,00:04.055,00:04.193,00:00.138
3,CSV,Heel strike - Loading response,00:04.246,00:04.353,00:00.107
3,CSV,Mid-stance,00:04.353,00:04.569,00:00.215
3,CSV,Terminal stance,00:04.569,00:04.784,00:00.215
3,CSV,Pre-swing,00:04.784,00:04.892,00:00.107
3,CSV,Toe-off,00:04.892,00:05.032,00:00.140
3,CSV,Mid-swing,00:05.032,00:05.182,00:00.150
3,CSV,Terminal swing,00:05.182,00:05.323,00:00.140
3,Video,Heel strike - Loading response,00:04.193,00:04.300,00:00.106
3,Video,Mid-stance,00:04.300,00:04.513,00:00.213
3,Video,Terminal stance,00:04.513,00:04.727,00:00.213
3,Video,Pre-swing,00:04.727,00:04.833,00:00.106
3,Video,Toe-off,00:04.833,00:04.972,00:00.138
3,Video,Mid-swing,00:04.972,00:05.121,00:00.149
3,Video,Terminal swing,00:05.121,00:05.259,00:00.138
6,CSV,Heel strike - Loading response,00:07.615,00:07.721,00:00.106
6,CSV,Mid-stance,00:07.721,00:07.933,00:00.212
6,CSV,Terminal stance,00:07.933,00:08.145,00:00.212
6,CSV,Pre-swing,00:08.145,00:08.251,00:00.106
6,CSV,Toe-off,00:08.251,00:08.389,00:00.137
6,CSV,Mid-swing,00:08.389,00:08.538,00:00.148
6,CSV,Terminal swing,00:08.538,00:08.676,00:00.137
6,Video,Heel strike - Loading response,00:07.593,00:07.702,00:00.109
6,Video,Mid-stance,00:07.702,00:07.922,00:00.219
6,Video,Terminal stance,00:07.922,00:08.142,00:00.219
6,Video,Pre-swing,00:08.142,00:08.252,00:00.109
6,Video,Toe-off,00:08.252,00:08.395,00:00.142
6,Video,Mid-swing,00:08.395,00:08.549,00:00.153
6,Video,Terminal swing,00:08.549,00:08.692,00:00.142
7,CSV,Heel strike - Loading response,00:08.676,00:08.783,00:00.107
7,CSV,Mid-stance,00:08.783,00:08.999,00:00.215
7,CSV,Terminal stance,00:08.999,00:09.214,00:00.215
7,CSV,Pre-swing,00:09.214,00:09.322,00:00.107
7,CSV,Toe-off,00:09.322,00:09.462,00:00.140
7,CSV,Mid-swing,00:09.462,00:09.612,00:00.150
7,CSV,Terminal swing,00:09.612,00:09.753,00:00.140
7,Video,Heel strike - Loading response,00:08.692,00:08.801,00:00.110
7,Video,Mid-stance,00:08.801,00:09.022,00:00.220
7,Video,Terminal stance,00:09.022,00:09.242,00:00.220
7,Video,Pre-swing,00:09.242,00:09.352,00:00.110
7,Video,Toe-off,00:09.352,00:09.494,00:00.143
7,Video,Mid-swing,00:09.494,00:09.649,00:00.154
7,Video,Terminal swing,00:09.649,00:09.791,00:00.143
8,CSV,Heel strike - Loading response,00:09.753,00:09.857,00:00.104
8,CSV,Mid-stance,00:09.857,00:10.067,00:00.209
8,CSV,Terminal stance,00:10.067,00:10.276,00:00.209
8,CSV,Pre-swing,00:10.276,00:10.381,00:00.104
8,CSV,Toe-off,00:10.381,00:10.517,00:00.136
8,CSV,Mid-swing,00:10.517,00:10.663,00:00.146
8,CSV,Terminal swing,00:10.663,00:10.800,00:00.136
8,Video,Heel strike - Loading response,00:09.791,00:09.895,00:00.103
8,Video,Mid-stance,00:09.895,00:10.101,00:00.206
8,Video,Terminal stance,00:10.101,00:10.308,00:00.206
8,Video,Pre-swing,00:10.308,00:10.411,00:00.103
8,Video,Toe-off,00:10.411,00:10.546,00:00.134
8,Video,Mid-swing,00:10.546,00:10.690,00:00.144
8,Video,Terminal swing,00:10.690,00:10.824,00:00.134
12,CSV,Heel strike - Loading response,00:14.214,00:14.330,00:00.115
12,CSV,Mid-stance,00:14.330,00:14.561,00:00.230
12,CSV,Terminal stance,00:14.561,00:14.791,00:00.230
12,CSV,Pre-swing,00:14.791,00:14.907,00:00.115
12,CSV,Toe-off,00:14.907,00:15.057,00:00.150
12,CSV,Mid-swing,00:15.057,00:15.218,00:00.161
12,CSV,Terminal swing,00:15.218,00:15.368,00:00.150
12,Video,Heel strike - Loading response,00:14.390,00:14.499,00:00.109
12,Video,Mid-stance,00:14.499,00:14.719,00:00.219
12,Video,Terminal stance,00:14.719,00:14.939,00:00.219
12,Video,Pre-swing,00:14.939,00:15.049,00:00.109
12,Video,Toe-off,00:15.049,00:15.192,00:00.142
12,Video,Mid-swing,00:15.192,00:15.346,00:00.153
12,Video,Terminal swing,00:15.346,00:15.489,00:00.142
13,CSV,Heel strike - Loading response,00:15.368,00:15.475,00:00.106
13,CSV,Mid-stance,00:15.475,00:15.687,00:00.212
13,CSV,Terminal stance,00:15.687,00:15.899,00:00.212
13,CSV,Pre-swing,00:15.899,00:16.005,00:00.106
13,CSV,Toe-off,00:16.005,00:16.143,00:00.137
13,CSV,Mid-swing,00:16.143,00:16.292,00:00.148
13,CSV,Terminal swing,00:16.292,00:16.429,00:00.137
13,Video,Heel strike - Loading response,00:15.489,00:15.598,00:00.109
13,Video,Mid-stance,00:15.598,00:15.818,00:00.219
13,Video,Terminal stance,00:15.818,00:16.038,00:00.219
13,Video,Pre-swing,00:16.038,00:16.148,00:00.109
13,Video,Toe-off,00:16.148,00:16.291,00:00.142
13,Video,Mid-swing,00:16.291,00:16.445,00:00.153
13,Video,Terminal swing,00:16.445,00:16.588,00:00.142
14,CSV,Heel strike - Loading response,00:16.429,00:16.537,00:00.107
14,CSV,Mid-stance,00:16.537,00:16.753,00:00.215
14,CSV,Terminal stance,00:16.753,00:16.968,00:00.215
14,CSV,Pre-swing,00:16.968,00:17.076,00:00.107
