Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:02.640625,00:03.718750,00:01.078125,ninguna,00:02.595600,00:03.701000,00:01.105400,00:00.027275,2.53%,0.38079666271351487
2,00:03.718750,00:04.796875,00:01.078125,ninguna,00:03.701000,00:04.458100,00:00.757100,-00:00.321025,-29.78%,-5.150518561780633
5,00:07.031250,00:08.234375,00:01.203125,ninguna,00:06.942900,00:08.184500,00:01.241600,00:00.038475,3.20%,0.5586626705066083
6,00:08.234375,00:09.296875,00:01.062500,ninguna,00:08.184500,00:09.270400,00:01.085900,00:00.023400,2.20%,0.31925820019581513
7,00:09.296875,00:10.390625,00:01.093750,ninguna,00:09.270400,00:10.337300,00:01.066900,-00:00.026850,-2.45%,-0.4787567008401622
8,00:10.390625,00:11.484375,00:01.093750,ninguna,00:10.337300,00:11.445700,00:01.108400,00:00.014650,1.34%,0.18030038160746084
11,00:13.859375,00:14.984375,00:01.125000,ninguna,00:13.770200,00:14.936000,00:01.165800,00:00.040800,3.63%,0.5955857480172282
12,00:14.984375,00:16.078125,00:01.093750,ninguna,00:14.936000,00:16.010700,00:01.074700,-00:00.019050,-1.74%,-0.354885731127115
13,00:16.078125,00:17.156250,00:01.078125,ninguna,00:16.010700,00:17.102500,00:01.091800,00:00.013675,1.27%,0.16481651039332992
16,00:19.640625,00:20.765625,00:01.125000,ninguna,00:19.509700,00:20.673500,00:01.163800,00:00.038800,3.45%,0.5638239609113186
17,00:20.765625,00:21.843750,00:01.078125,ninguna,00:20.673500,00:21.791500,00:01.117999,00:00.039875,3.70%,0.580895921480745
18,00:21.843750,00:22.984375,00:01.140625,ninguna,00:21.791500,00:22.930900,00:01.139400,-00:00.001225,-0.11%,-0.07180880354569616
21,00:25.484375,00:26.703125,00:01.218750,ninguna,00:25.398200,00:26.609400,00:01.211200,-00:00.007549,-0.62%,-0.1722554552681351
22,00:26.703125,00:27.781250,00:01.078125,ninguna,00:26.609400,00:27.706400,00:01.097000,00:00.018875,1.75%,0.24739715686869473
23,00:27.781250,00:28.906250,00:01.125000,ninguna,00:27.706400,00:28.822300,00:01.115900,-00:00.009099,-0.81%,-0.196870840275215
26,00:31.281250,00:32.484375,00:01.203125,ninguna,00:31.194600,00:32.395400,00:01.200800,-00:00.002325,-0.19%,-0.0892777864539464
27,00:32.484375,00:33.562500,00:01.078125,ninguna,00:32.395400,00:33.526700,00:01.131300,00:00.053175,4.93%,0.7921118057350435
28,00:33.562500,00:34.687500,00:01.125000,ninguna,00:33.526700,00:34.633400,00:01.106700,-00:00.018299,-1.63%,-0.34297506096239894
29,00:34.687500,00:35.796875,00:01.109375,ninguna,00:34.633400,00:35.741200,00:01.107800,-00:00.001574,-0.14%,-0.07736711628923033
32,00:38.140625,00:39.328125,00:01.187500,ninguna,00:38.053700,00:39.256700,00:01.203000,00:00.015500,1.31%,0.1937991411274724
33,00:39.328125,00:40.375000,00:01.046875,ninguna,00:39.256700,00:40.351500,00:01.094800,00:00.047925,4.58%,0.7087371145820309
34,00:40.375000,00:41.468750,00:01.093750,ninguna,00:40.351500,00:41.419200,00:01.067700,-00:00.026050,-2.38%,-0.4660519859977984
35,00:41.468750,00:42.593750,00:01.125000,ninguna,00:41.419200,00:42.499300,00:01.080100,-00:00.044900,-3.99%,-0.7654068294709959
38,00:45.015625,00:46.203125,00:01.187500,ninguna,00:44.915600,00:46.133600,00:01.218000,00:00.030500,2.57%,0.432012544421794
39,00:46.203125,00:47.281250,00:01.078125,ninguna,00:46.133600,00:47.239000,00:01.105400,00:00.027275,2.53%,0.38079666271351487
40,00:47.281250,00:48.375000,00:01.093750,ninguna,00:47.239000,00:48.336400,00:01.097400,00:00.003650,0.33%,0.005610552524958356
