Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:02.615,00:02.722,00:00.107,00:02.615,00:01.077,00:02.595,00:01.099
1,CSV,Mid-stance,00:02.722,00:02.938,00:00.215,00:02.615,00:01.077,00:02.595,00:01.099
1,CSV,Terminal stance,00:02.938,00:03.153,00:00.215,00:02.615,00:01.077,00:02.595,00:01.099
1,CSV,Pre-swing,00:03.153,00:03.261,00:00.107,00:02.615,00:01.077,00:02.595,00:01.099
1,CSV,Toe-off,00:03.261,00:03.401,00:00.140,00:02.615,00:01.077,00:02.595,00:01.099
1,CSV,Mid-swing,00:03.401,00:03.551,00:00.150,00:02.615,00:01.077,00:02.595,00:01.099
1,CSV,Terminal swing,00:03.551,00:03.692,00:00.140,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Heel strike - Loading response,00:02.594,00:02.704,00:00.109,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Mid-stance,00:02.704,00:02.924,00:00.219,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Terminal stance,00:02.924,00:03.144,00:00.219,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Pre-swing,00:03.144,00:03.254,00:00.109,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Toe-off,00:03.254,00:03.397,00:00.142,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Mid-swing,00:03.397,00:03.551,00:00.153,00:02.615,00:01.077,00:02.595,00:01.099
1,Video,Terminal swing,00:03.551,00:03.694,00:00.142,00:02.615,00:01.077,00:02.595,00:01.099
2,CSV,Heel strike - Loading response,00:03.692,00:03.795,00:00.103,00:03.692,00:01.031,00:03.694,00:01.033
2,CSV,Mid-stance,00:03.795,00:04.001,00:00.206,00:03.692,00:01.031,00:03.694,00:01.033
2,CSV,Terminal stance,00:04.001,00:04.207,00:00.206,00:03.692,00:01.031,00:03.694,00:01.033
2,CSV,Pre-swing,00:04.207,00:04.310,00:00.103,00:03.692,00:01.031,00:03.694,00:01.033
