Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:02.615,00:03.692,00:01.077,ninguna,00:02.595,00:03.694,00:01.099,00:00.022,2.04%,-0.014953779556569414
2,00:03.692,00:04.723,00:01.031,ninguna,00:03.694,00:04.727,00:01.033,00:00.002,0.19%,-0.44056135155123627
3,00:04.723,00:05.815,00:01.092,gira,00:04.727,00:05.827,00:01.100,00:00.008,0.73%,
4,00:08.092,00:09.153,00:01.061,ninguna,00:08.159,00:09.259,00:01.100,00:00.039,3.68%,0.34681265663889743
5,00:09.153,00:10.246,00:01.093,ninguna,00:09.259,00:10.325,00:01.066,-00:00.027,-2.47%,-1.0576923309435031
6,00:10.246,00:11.323,00:01.077,ninguna,00:10.325,00:11.458,00:01.133,00:00.056,5.20%,0.7085790928343644
7,00:11.323,00:12.800,00:01.476,gira,00:13.157,00:12.557,-00:00.600,-00:02.077,-140.62%,
8,00:12.800,00:13.676,00:00.876,gira,00:15.557,00:13.756,-00:01.801,-00:02.677,-305.59%,
9,00:13.676,00:14.753,00:01.077,ninguna,00:13.756,00:14.923,00:01.167,00:00.090,8.36%,1.4321119652252978
10,00:14.753,00:15.830,00:01.077,ninguna,00:14.923,00:15.989,00:01.066,-00:00.011,-1.02%,-0.7172062733477697
11,00:15.830,00:16.907,00:01.077,ninguna,00:15.989,00:17.088,00:01.099,00:00.022,2.04%,-0.014953779556569414
12,00:16.907,00:18.061,00:01.154,gira,00:17.088,00:18.221,00:01.133,-00:00.021,-1.82%,
13,00:18.061,00:19.384,00:01.323,gira,00:18.221,00:19.520,00:01.299,-00:00.024,-1.81%,
14,00:19.384,00:20.461,00:01.077,ninguna,00:19.520,00:20.687,00:01.167,00:00.090,8.36%,1.4321119652252978
15,00:20.461,00:21.676,00:01.215,ninguna,00:20.687,00:21.753,00:01.066,-00:00.149,-12.26%,-3.6538985201109706
16,00:21.676,00:22.800,00:01.124,ninguna,00:21.753,00:22.919,00:01.166,00:00.042,3.74%,0.4106537924380975
17,00:22.800,00:23.800,00:01.000,gira,00:22.919,00:24.085,00:01.166,00:00.166,16.60%,
