Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:02.061,00:03.184,00:01.123,ninguna,00:01.995,00:03.128,00:01.133,00:00.010,0.89%,0.22121131404040942
2,00:03.184,00:04.246,00:01.062,ninguna,00:03.128,00:04.194,00:01.066,00:00.004,0.38%,0.10175720445858834
3,00:04.246,00:05.323,00:01.077,ninguna,00:04.194,00:05.260,00:01.066,-00:00.011,-1.02%,-0.19687806949596443
4,00:05.323,00:06.400,00:01.077,gira,00:05.260,00:06.393,00:01.133,00:00.056,5.20%,
5,00:06.400,00:07.615,00:01.215,gira,00:06.393,00:07.593,00:01.200,-00:00.015,-1.23%,
6,00:07.615,00:08.676,00:01.061,ninguna,00:07.593,00:08.692,00:01.099,00:00.038,3.58%,0.7786638254222412
7,00:08.676,00:09.753,00:01.077,ninguna,00:08.692,00:09.792,00:01.100,00:00.023,2.14%,0.4800285514676885
8,00:09.753,00:10.800,00:01.047,ninguna,00:09.792,00:10.825,00:01.033,-00:00.014,-1.34%,-0.256605124286875
9,00:10.800,00:11.907,00:01.107,gira,00:10.825,00:11.957,00:01.132,00:00.025,2.26%,
10,00:11.907,00:13.107,00:01.200,gira,00:11.957,00:13.190,00:01.233,00:00.033,2.75%,
11,00:13.107,00:14.215,00:01.108,gira,00:13.190,00:14.390,00:01.200,00:00.092,8.30%,
12,00:14.215,00:15.369,00:01.154,ninguna,00:14.390,00:15.489,00:01.099,-00:00.055,-4.77%,-1.0728748730959858
13,00:15.369,00:16.430,00:01.061,ninguna,00:15.489,00:16.588,00:01.099,00:00.038,3.58%,0.7786638254222412
14,00:16.430,00:17.507,00:01.077,ninguna,00:16.588,00:17.655,00:01.067,-00:00.010,-0.93%,-0.1769690512323276
15,00:17.507,00:18.800,00:01.293,gira,00:17.655,00:18.921,00:01.266,-00:00.027,-2.09%,
16,00:18.800,00:19.938,00:01.138,gira,00:18.921,00:20.087,00:01.166,00:00.028,2.46%,
17,00:19.938,00:21.030,00:01.092,ninguna,00:20.087,00:21.220,00:01.133,00:00.041,3.75%,0.8383908802131519
18,00:21.030,00:22.138,00:01.108,ninguna,00:21.220,00:22.319,00:01.099,-00:00.009,-0.81%,-0.15706003296869073
19,00:22.138,00:23.292,00:01.154,ninguna,00:22.319,00:23.542,00:01.223,00:00.069,5.98%,1.3958433915949837
20,00:23.292,00:24.553,00:01.261,gira,00:23.542,00:24.718,00:01.176,-00:00.084,-6.74%,
21,00:24.553,00:25.769,00:01.216,gira,00:24.718,00:26.051,00:01.333,00:00.117,9.62%,
22,00:25.769,00:26.892,00:01.123,ninguna,00:26.051,00:27.184,00:01.133,00:00.010,0.89%,0.22121131404040942
22,00:26.892,00:27.938,00:01.046,ninguna,00:27.184,00:28.286,00:01.102,00:00.056,5.35%,1.1370261541677047
23,00:27.938,00:29.092,00:01.154,ninguna,00:28.286,00:29.383,00:01.097,-00:00.057,-4.94%,-1.1126929096232596
24,00:29.092,00:30.230,00:01.138,gira,00:29.383,00:30.582,00:01.199,00:00.061,5.36%,
25,00:30.230,00:31.461,00:01.231,gira,00:30.582,00:31.815,00:01.233,00:00.002,0.16%,
26,00:31.461,00:32.615,00:01.154,ninguna,00:31.815,00:32.948,00:01.133,-00:00.021,-1.82%,-0.39596825213233294
27,00:32.615,00:33.676,00:01.061,ninguna,00:32.948,00:34.047,00:01.099,00:00.038,3.58%,0.7786638254222412
28,00:33.676,00:34.784,00:01.108,ninguna,00:34.047,00:35.147,00:01.100,-00:00.008,-0.72%,-0.1371510147050539
29,00:34.784,00:35.892,00:01.108,ninguna,00:35.147,00:36.279,00:01.132,00:00.024,2.17%,0.49993756973132536
30,00:35.892,00:37.000,00:01.108,gira,00:36.279,00:37.479,00:01.200,00:00.092,8.30%,
40,00:37.000,00:38.230,00:01.230,gira,00:37.479,00:38.678,00:01.199,-00:00.031,-2.52%,
41,00:38.230,00:39.323,00:01.093,ninguna,00:38.678,00:39.811,00:01.133,00:00.040,3.66%,0.818481861949515
42,00:39.323,00:40.369,00:01.046,ninguna,00:39.811,00:40.911,00:01.100,00:00.054,5.16%,1.097208117640431
43,00:40.369,00:41.446,00:01.077,ninguna,00:40.911,00:41.943,00:01.032,-00:00.045,-4.18%,-0.8737846904596173
44,00:41.446,00:42.584,00:01.138,ninguna,00:41.943,00:43.110,00:01.167,00:00.029,2.55%,0.5994826610495096
45,00:42.584,00:45.000,00:02.416,gira,00:43.110,00:44.309,00:01.199,-00:01.217,-50.37%,
46,00:45.000,00:46.092,00:01.092,gira,00:44.306,00:45.542,00:01.236,00:00.144,13.19%,
47,00:46.092,00:47.153,00:01.061,ninguna,00:45.542,00:46.675,00:01.133,00:00.072,6.79%,1.455570446385894
48,00:47.153,00:48.246,00:01.093,ninguna,00:46.675,00:47.741,00:01.066,-00:00.027,-2.47%,-0.515422361714154
49,00:48.246,00:49.400,00:01.154,ninguna,00:47.741,00:48.874,00:01.133,-00:00.021,-1.82%,-0.39596825213233294
50,00:49.400,00:50.523,00:01.123,gira,00:48.874,00:49.973,00:01.099,-00:00.024,-2.14%,
51,00:50.523,00:51.753,00:01.230,gira,00:49.973,00:51.206,00:01.233,00:00.003,0.24%,
52,00:51.753,00:52.800,00:01.047,gira,00:51.206,00:52.405,00:01.199,00:00.152,14.52%,
53,00:52.800,00:53.938,00:01.138,ninguna,00:52.405,00:53.571,00:01.166,00:00.028,2.46%,0.5795736427858728
54,00:53.938,00:55.015,00:01.077,ninguna,00:53.571,00:54.671,00:01.100,00:00.023,2.14%,0.4800285514676885
