Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:02.640625,00:03.718750,00:01.078125,ninguna,00:02.595600,00:03.701000
02,00:03.718750,00:04.796875,00:01.078125,ninguna,00:03.701000,00:04.458100
03,00:04.796875,00:05.875000,00:01.078125,gira,00:04.458100,00:05.836100
04,00:05.875000,00:07.031250,00:01.156250,gira,00:05.836100,00:06.942900
05,00:07.031250,00:08.234375,00:01.203125,ninguna,00:06.942900,00:08.184500
06,00:08.234375,00:09.296875,00:01.062500,ninguna,00:08.184500,00:09.270400
07,00:09.296875,00:10.390625,00:01.093750,ninguna,00:09.270400,00:10.337300
08,00:10.390625,00:11.484375,00:01.093750,ninguna,00:10.337300,00:11.445700
09,00:11.484375,00:12.750000,00:01.265625,gira,00:11.445700,00:12.544200
10,00:12.750000,00:13.859375,00:01.109375,gira,00:12.544200,00:13.770200
11,00:13.859375,00:14.984375,00:01.125000,ninguna,00:13.770200,00:14.936000
12,00:14.984375,00:16.078125,00:01.093750,ninguna,00:14.936000,00:16.010700
13,00:16.078125,00:17.156250,00:01.078125,ninguna,00:16.010700,00:17.102500
14,00:17.156250,00:18.328125,00:01.171875,gira,00:17.102500,00:18.241600
15,00:18.328125,00:19.640625,00:01.312500,gira,00:18.241600,00:19.509700
16,00:19.640625,00:20.765625,00:01.125000,ninguna,00:19.509700,00:20.673500
17,00:20.765625,00:21.843750,00:01.078125,ninguna,00:20.673500,00:21.791500
18,00:21.843750,00:22.984375,00:01.140625,ninguna,00:21.791500,00:22.930900
19,00:22.984375,00:24.171875,00:01.187500,gira,00:22.930900,00:24.097300
20,00:24.171875,00:25.484375,00:01.312500,gira,00:24.097300,00:25.398200
21,00:25.484375,00:26.703125,00:01.218750,ninguna,00:25.398200,00:26.609400
22,00:26.703125,00:27.781250,00:01.078125,ninguna,00:26.609400,00:27.706400
23,00:27.781250,00:28.906250,00:01.125000,ninguna,00:27.706400,00:28.822300
24,00:28.906250,00:30.046875,00:01.140625,gira,00:28.822300,00:29.974300
25,00:30.046875,00:31.281250,00:01.234375,gira,00:29.974300,00:31.194600
26,00:31.281250,00:32.484375,00:01.203125,ninguna,00:31.194600,00:32.395400
27,00:32.484375,00:33.562500,00:01.078125,ninguna,00:32.395400,00:33.526700
28,00:33.562500,00:34.687500,00:01.125000,ninguna,00:33.526700,00:34.633400
29,00:34.687500,00:35.796875,00:01.109375,ninguna,00:34.633400,00:35.741200
30,00:35.796875,00:37.015625,00:01.218750,gira,00:35.741200,00:36.913700
31,00:37.015625,00:38.140625,00:01.125000,gira,00:36.913700,00:38.053700
32,00:38.140625,00:39.328125,00:01.187500,ninguna,00:38.053700,00:39.256700
33,00:39.328125,00:40.375000,00:01.046875,ninguna,00:39.256700,00:40.351500
34,00:40.375000,00:41.468750,00:01.093750,ninguna,00:40.351500,00:41.419200
35,00:41.468750,00:42.593750,00:01.125000,ninguna,00:41.419200,00:42.499300
36,00:42.593750,00:43.734375,00:01.140625,gira,00:42.499300,00:43.644900
37,00:43.734375,00:45.015625,00:01.281250,gira,00:43.644900,00:44.915600
38,00:45.015625,00:46.203125,00:01.187500,ninguna,00:44.915600,00:46.133600
39,00:46.203125,00:47.281250,00:01.078125,ninguna,00:46.133600,00:47.239000
40,00:47.281250,00:48.375000,00:01.093750,ninguna,00:47.239000,00:48.336400
41,00:48.375000,00:49.484375,00:01.109375,ninguna,00:48.336400,00:49.434200
42,00:49.484375,00:50.750000,00:01.265625,gira,00:49.434200,00:50.617000
43,00:50.750000,00:51.953125,00:01.203125,gira,00:50.617000,00:51.809500
44,00:51.953125,00:53.046875,00:01.093750,ninguna,00:51.809500,00:53.001200
45,00:53.046875,00:54.171875,00:01.125000,ninguna,00:53.001200,00:54.117100
46,00:54.171875,00:55.218750,00:01.046875,ninguna,00:54.117100,00:55.172900
47,00:55.218750,00:56.375000,00:01.156250,ninguna,00:55.172900,00:56.297300
48,00:56.375000,00:57.546875,00:01.171875,gira,00:56.297300,00:57.531300
49,00:57.546875,00:58.890625,00:01.343750,gira,00:57.531300,00:58.843400
50,00:58.890625,01:00.000000,00:01.109375,ninguna,00:58.843400,00:59.965000
51,01:00.000000,01:01.125000,00:01.125000,ninguna,00:59.965000,01:01.077100
52,01:01.125000,01:02.218750,00:01.093750,ninguna,01:01.077100,01:02.181600
53,01:02.218750,01:03.500000,00:01.281250,gira,01:02.181600,01:03.456400
54,01:03.500000,01:04.781250,00:01.281250,gira,01:03.456400,01:04.641400
55,01:04.781250,01:05.906250,00:01.125000,ninguna,01:04.641400,01:05.875500
56,01:05.906250,01:07.031250,00:01.125000,ninguna,01:05.875500,01:06.974900
57,01:07.031250,01:08.156250,00:01.125000,ninguna,01:06.974900,01:08.097700
58,01:08.156250,01:09.312500,00:01.156250,ninguna,01:08.097700,01:09.277600
59,01:09.312500,01:10.625000,00:01.312500,gira,01:09.277600,01:10.533400
