Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:02.061,00:03.184,00:01.123,ninguna,00:01.995,00:03.128
02,00:03.184,00:04.246,00:01.062,ninguna,00:03.128,00:04.194
03,00:04.246,00:05.323,00:01.077,ninguna,00:04.194,00:05.260
04,00:05.323,00:06.400,00:01.077,gira,00:05.260,00:06.393
05,00:06.400,00:07.615,00:01.215,gira,00:06.393,00:07.593
06,00:07.615,00:08.676,00:01.061,ninguna,00:07.593,00:08.692
07,00:08.676,00:09.753,00:01.077,ninguna,00:08.692,00:09.792
08,00:09.753,00:10.800,00:01.047,ninguna,00:09.792,00:10.825
09,00:10.800,00:11.907,00:01.107,gira,00:10.825,00:11.957
10,00:11.907,00:13.107,00:01.200,gira,00:11.957,00:13.190
11,00:13.107,00:14.215,00:01.108,gira,00:13.190,00:14.390
12,00:14.215,00:15.369,00:01.154,ninguna,00:14.390,00:15.489
13,00:15.369,00:16.430,00:01.061,ninguna,00:15.489,00:16.588
14,00:16.430,00:17.507,00:01.077,ninguna,00:16.588,00:17.655
15,00:17.507,00:18.800,00:01.293,gira,00:17.655,00:18.921
16,00:18.800,00:19.938,00:01.138,gira,00:18.921,00:20.087
17,00:19.938,00:21.030,00:01.092,ninguna,00:20.087,00:21.220
18,00:21.030,00:22.138,00:01.108,ninguna,00:21.220,00:22.319
19,00:22.138,00:23.292,00:01.154,ninguna,00:22.319,00:23.542
20,00:23.292,00:24.553,00:01.261,gira,00:23.542,00:24.718
21,00:24.553,00:25.769,00:01.216,gira,00:24.718,00:26.051
22,00:25.769,00:26.892,00:01.123,ninguna,00:26.051,00:27.184
22,00:26.892,00:27.938,00:01.046,ninguna,00:27.184,00:28.286
23,00:27.938,00:29.092,00:01.154,ninguna,00:28.286,00:29.383
24,00:29.092,00:30.230,00:01.138,gira,00:29.383,00:30.582
25,00:30.230,00:31.461,00:01.231,gira,00:30.582,00:31.815
26,00:31.461,00:32.615,00:01.154,ninguna,00:31.815,00:32.948
27,00:32.615,00:33.676,00:01.061,ninguna,00:32.948,00:34.047
28,00:33.676,00:34.784,00:01.108,ninguna,00:34.047,00:35.147
29,00:34.784,00:35.892,00:01.108,ninguna,00:35.147,00:36.279
30,00:35.892,00:37.000,00:01.108,gira,00:36.279,00:37.479
40,00:37.000,00:38.230,00:01.230,gira,00:37.479,00:38.678
41,00:38.230,00:39.323,00:01.093,ninguna,00:38.678,00:39.811
42,00:39.323,00:40.369,00:01.046,ninguna,00:39.811,00:40.911
43,00:40.369,00:41.446,00:01.077,ninguna,00:40.911,00:41.943
44,00:41.446,00:42.584,00:01.138,ninguna,00:41.943,00:43.110
45,00:42.584,00:45.000,00:02.416,gira,00:43.110,00:44.309
46,00:45.000,00:46.092,00:01.092,gira,00:44.306,00:45.542
47,00:46.092,00:47.153,00:01.061,ninguna,00:45.542,00:46.675
48,00:47.153,00:48.246,00:01.093,ninguna,00:46.675,00:47.741
49,00:48.246,00:49.400,00:01.154,ninguna,00:47.741,00:48.874
50,00:49.400,00:50.523,00:01.123,gira,00:48.874,00:49.973
51,00:50.523,00:51.753,00:01.230,gira,00:49.973,00:51.206
52,00:51.753,00:52.800,00:01.047,gira,00:51.206,00:52.405
53,00:52.800,00:53.938,00:01.138,ninguna,00:52.405,00:53.571
54,00:53.938,00:55.015,00:01.077,ninguna,00:53.571,00:54.671
55,00:55.015,00:56.184,00:01.169,ninguna,00:54.671,00:55.737
56,00:56.184,00:57.461,00:01.277,ninguna,00:55.737,00:56.870
57,00:57.461,00:58.630,00:01.169,gira,00:56.870,00:58.203
58,00:58.630,00:59.707,00:01.077,gira,00:58.203,00:59.402
59,00:59.707,01:00.800,00:01.093,ninguna,00:59.402,01:00.502
60,01:00.800,01:01.938,00:01.138,ninguna,01:00.502,01:01.601
61,01:01.938,01:03.230,00:01.292,ninguna,01:01.601,01:02.767
62,01:03.230,01:04.430,00:01.200,gira,01:02.767,01:04.033
63,01:04.430,01:05.523,00:01.093,gira,01:04.033,01:05.299
64,01:05.523,01:06.646,00:01.123,ninguna,01:05.299,01:06.465
65,01:06.646,01:07.753,00:01.107,ninguna,01:06.465,01:07.565
66,01:07.753,01:08.876,00:01.123,ninguna,01:07.565,01:08.698
