Zancada,Inicio,Fin,Duración,LR_dur,MSt_dur,TSt_dur,PSw_dur,Sw_dur
1,00:02.531250,00:03.593750,1.0625,0.0432,0.2593,0.3661,0.006,0.3879
2,00:08.093750,00:09.171875,1.0781,0.0512,0.3036,0.3481,0.0036,0.3716
3,00:09.171875,00:10.265625,1.0938,0.0821,0.1976,0.4488,0.0052,0.36
4,00:14.875000,00:15.953125,1.0781,0.0406,0.2546,0.4108,0.0034,0.3687
5,00:21.718750,00:22.828125,1.1094,0.0484,0.2814,0.3724,0.0024,0.4047
6,00:26.562500,00:27.625000,1.0625,0.0324,0.2694,0.3906,0.0039,0.3662
7,00:27.625000,00:28.750000,1.125,0.0577,0.2018,0.4686,0.0032,0.3937
8,00:33.437500,00:34.562500,1.125,0.0777,0.2242,0.4461,0.0046,0.3724
9,00:34.562500,00:35.671875,1.1094,0.0367,0.2345,0.4215,0.002,0.4146
10,00:40.281250,00:41.343750,1.0625,0.0428,0.1938,0.4545,0.0028,0.3686
11,00:41.343750,00:42.437500,1.0938,0.0551,0.2491,0.4055,0.0041,0.3799
12,00:46.046875,00:47.140625,1.0938,0.0526,0.2292,0.4325,0.0038,0.3758
13,00:47.140625,00:48.234375,1.0938,0.0575,0.1794,0.4781,0.003,0.3758
14,00:48.234375,00:49.328125,1.0938,0.0523,0.2138,0.4531,0.0018,0.3727
15,00:54.015625,00:55.093750,1.0781,0.0627,0.2661,0.3808,0.0033,0.3653
16,00:55.093750,00:56.218750,1.125,0.0605,0.1926,0.4865,0.0032,0.3821
17,00:59.875000,01:00.984375,1.1094,0.0591,0.1923,0.4725,0.0032,0.3822
18,01:05.765625,01:08.015625,2.25,0.1072,0.4597,0.9538,0.0111,0.7183
19,01:08.015625,01:09.187500,1.1719,0.0574,0.2374,0.5039,0.0077,0.3656
