Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:02.640625,00:02.748438,00:00.107813,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,CSV,Mid-stance,00:02.748438,00:02.964062,00:00.215625,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,CSV,Terminal stance,00:02.964062,00:03.179688,00:00.215625,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,CSV,Pre-swing,00:03.179688,00:03.287500,00:00.107813,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,CSV,Toe-off,00:03.287500,00:03.427656,00:00.140156,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,CSV,Mid-swing,00:03.427656,00:03.578595,00:00.150938,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,CSV,Terminal swing,00:03.578595,00:03.718751,00:00.140156,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Heel strike - Loading response,00:02.595600,00:02.706140,00:00.110540,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Mid-stance,00:02.706140,00:02.927220,00:00.221080,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Terminal stance,00:02.927220,00:03.148299,00:00.221080,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Pre-swing,00:03.148299,00:03.258840,00:00.110540,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Toe-off,00:03.258840,00:03.402541,00:00.143702,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Mid-swing,00:03.402541,00:03.557297,00:00.154756,00:02.640625,00:01.078125,00:02.595600,00:01.105400
1,Video,Terminal swing,00:03.557297,00:03.701000,00:00.143702,00:02.640625,00:01.078125,00:02.595600,00:01.105400
2,CSV,Heel strike - Loading response,00:03.718750,00:03.826563,00:00.107813,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,CSV,Mid-stance,00:03.826563,00:04.042188,00:00.215625,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,CSV,Terminal stance,00:04.042188,00:04.257812,00:00.215625,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,CSV,Pre-swing,00:04.257812,00:04.365625,00:00.107813,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,CSV,Toe-off,00:04.365625,00:04.505781,00:00.140156,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,CSV,Mid-swing,00:04.505781,00:04.656720,00:00.150938,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,CSV,Terminal swing,00:04.656720,00:04.796876,00:00.140156,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Heel strike - Loading response,00:03.701000,00:03.776710,00:00.075710,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Mid-stance,00:03.776710,00:03.928129,00:00.151420,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Terminal stance,00:03.928129,00:04.079550,00:00.151420,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Pre-swing,00:04.079550,00:04.155260,00:00.075710,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Toe-off,00:04.155260,00:04.253682,00:00.098423,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Mid-swing,00:04.253682,00:04.359676,00:00.105994,00:03.718750,00:01.078125,00:03.701000,00:00.757100
2,Video,Terminal swing,00:04.359676,00:04.458099,00:00.098423,00:03.718750,00:01.078125,00:03.701000,00:00.757100
5,CSV,Heel strike - Loading response,00:07.031250,00:07.151563,00:00.120313,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,CSV,Mid-stance,00:07.151563,00:07.392188,00:00.240625,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,CSV,Terminal stance,00:07.392188,00:07.632812,00:00.240625,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,CSV,Pre-swing,00:07.632812,00:07.753126,00:00.120313,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,CSV,Toe-off,00:07.753126,00:07.909532,00:00.156406,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,CSV,Mid-swing,00:07.909532,00:08.077970,00:00.168438,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,CSV,Terminal swing,00:08.077970,00:08.234375,00:00.156406,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Heel strike - Loading response,00:06.942899,00:07.067059,00:00.124160,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Mid-stance,00:07.067059,00:07.315380,00:00.248320,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Terminal stance,00:07.315380,00:07.563699,00:00.248320,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Pre-swing,00:07.563699,00:07.687859,00:00.124160,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Toe-off,00:07.687859,00:07.849268,00:00.161408,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Mid-swing,00:07.849268,00:08.023092,00:00.173824,00:07.031250,00:01.203125,00:06.942900,00:01.241600
5,Video,Terminal swing,00:08.023092,00:08.184499,00:00.161408,00:07.031250,00:01.203125,00:06.942900,00:01.241600
6,CSV,Heel strike - Loading response,00:08.234375,00:08.340624,00:00.106250,00:08.234375,00:01.062500,00:08.184500,00:01.085900
6,CSV,Mid-stance,00:08.340624,00:08.553124,00:00.212500,00:08.234375,00:01.062500,00:08.184500,00:01.085900
6,CSV,Terminal stance,00:08.553124,00:08.765625,00:00.212500,00:08.234375,00:01.062500,00:08.184500,00:01.085900
6,CSV,Pre-swing,00:08.765625,00:08.871874,00:00.106250,00:08.234375,00:01.062500,00:08.184500,00:01.085900
6,CSV,Toe-off,00:08.871874,00:09.009999,00:00.138125,00:08.234375,00:01.062500,00:08.184500,00:01.085900
6,CSV,Mid-swing,00:09.009999,00:09.158749,00:00.148750,00:08.234375,00:01.062500,00:08.184500,00:01.085900
