PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,PressureSensor 32,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP,Tiempo (mm:ss.mmm)
21,87,28,64,859,1124,988,435,2745,1892,28,21,633,1154,1216,1958,416,1282,153,20,370,34,110,91,83,261,1155,3224,1763,1415,61,832,831,1733,8069,99,-256,-27,68.93966888227378,287.71396240264244,24523,00:00.000
21,90,28,69,884,1147,983,451,2761,1919,28,21,618,1132,1206,1999,422,1300,174,20,386,35,112,97,49,212,939,3198,1728,1400,40,724,843,1736,8061,77,-277,-26,68.41873682470136,283.4798702103914,24193,00:00.015
21,90,28,71,907,1172,981,468,2759,1936,28,21,599,1117,1194,2053,431,1324,182,20,399,36,102,99,49,170,848,3176,1703,1376,48,627,864,1732,8075,66,-302,-21,68.20409819013938,280.7740794674433,24035,00:00.030
21,91,28,76,919,1186,1027,472,2749,1933,29,21,583,1106,1167,2085,435,1329,179,20,409,37,108,100,57,158,797,3162,1698,1383,51,576,887,1741,8036,37,-256,-16,68.27359119706568,279.49572774258087,23992,00:00.046
21,89,28,76,921,1188,987,479,2743,1928,29,21,569,1100,1169,2070,441,1333,187,20,415,37,117,106,54,163,828,3164,1703,1381,44,593,884,1724,8097,10,-158,-10,68.42961589735044,279.5559281786369,24004,00:00.061
21,90,28,77,917,1184,967,478,2744,1914,28,21,571,1103,1166,2048,441,1335,181,20,415,36,122,104,66,174,868,3168,1706,1387,50,624,895,1707,8059,30,-101,-25,68.5634613785649,280.50426124553087,24054,00:00.076
21,91,28,73,904,1172,989,473,2730,1897,28,21,582,1113,1145,2020,441,1342,183,20,411,37,133,102,70,197,927,3190,1722,1400,63,668,895,1707,8059,30,-101,-25,68.91981151572769,281.9439300624147,24193,00:00.092
21,89,28,74,892,1156,980,463,2717,1873,28,21,592,1119,1136,1991,449,1340,175,20,409,38,141,100,73,227,1021,3194,1732,1405,82,717,877,1712,8083,54,-139,-39,69.27268238489076,283.69703328807145,24303,00:00.107
21,87,28,74,879,1140,998,455,2708,1857,28,21,601,1130,1149,1977,451,1336,167,20,404,37,147,99,78,262,1136,3207,1753,1411,70,771,830,1715,8093,57,-150,-49,69.62825483633989,285.43480124071505,24502,00:00.123
21,80,27,69,866,1122,981,447,2710,1843,28,21,612,1146,1144,1960,449,1332,154,20,395,36,146,100,90,294,1219,3228,1769,1415,95,798,821,1730,8123,52,-144,-49,69.84287281147175,287.55128569687616,24617,00:00.138
21,80,26,66,853,1116,964,440,2702,1817,27,21,619,1153,1152,1953,454,1322,152,20,388,35,148,99,93,325,1312,3235,1782,1425,105,835,845,1721,8106,45,-131,-42,70.0895109135004,289.2773039611964,24740,00:00.153
