Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:03.281250,00:03.409374,00:00.128124,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,CSV,Mid-stance,00:03.409374,00:03.665624,00:00.256249,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,CSV,Terminal stance,00:03.665624,00:03.921875,00:00.256249,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,CSV,Pre-swing,00:03.921875,00:04.049999,00:00.128124,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,CSV,Toe-off,00:04.049999,00:04.216562,00:00.166563,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,CSV,Mid-swing,00:04.216562,00:04.395938,00:00.179375,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,CSV,Terminal swing,00:04.395938,00:04.562501,00:00.166563,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Heel strike - Loading response,00:03.081999,00:03.214710,00:00.132710,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Mid-stance,00:03.214710,00:03.480129,00:00.265420,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Terminal stance,00:03.480129,00:03.745550,00:00.265420,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Pre-swing,00:03.745550,00:03.878260,00:00.132710,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Toe-off,00:03.878260,00:04.050783,00:00.172523,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Mid-swing,00:04.050783,00:04.236576,00:00.185794,00:03.281250,00:01.281250,00:03.082000,00:01.327100
1,Video,Terminal swing,00:04.236576,00:04.409100,00:00.172523,00:03.281250,00:01.281250,00:03.082000,00:01.327100
2,CSV,Heel strike - Loading response,00:04.562500,00:04.690624,00:00.128124,00:04.562500,00:01.281250,00:04.409100,00:01.286900
2,CSV,Mid-stance,00:04.690624,00:04.946875,00:00.256249,00:04.562500,00:01.281250,00:04.409100,00:01.286900
2,CSV,Terminal stance,00:04.946875,00:05.203125,00:00.256249,00:04.562500,00:01.281250,00:04.409100,00:01.286900
2,CSV,Pre-swing,00:05.203125,00:05.331249,00:00.128124,00:04.562500,00:01.281250,00:04.409100,00:01.286900
2,CSV,Toe-off,00:05.331249,00:05.497812,00:00.166563,00:04.562500,00:01.281250,00:04.409100,00:01.286900
2,CSV,Mid-swing,00:05.497812,00:05.677188,00:00.179375,00:04.562500,00:01.281250,00:04.409100,00:01.286900
2,CSV,Terminal swing,00:05.677188,00:05.843751,00:00.166563,00:04.562500,00:01.281250,00:04.409100,00:01.286900
