Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:03.229,00:03.357,00:00.127,00:03.230,00:01.277,00:03.095,00:01.332
1,CSV,Mid-stance,00:03.357,00:03.613,00:00.255,00:03.230,00:01.277,00:03.095,00:01.332
1,CSV,Terminal stance,00:03.613,00:03.868,00:00.255,00:03.230,00:01.277,00:03.095,00:01.332
1,CSV,Pre-swing,00:03.868,00:03.996,00:00.127,00:03.230,00:01.277,00:03.095,00:01.332
1,CSV,Toe-off,00:03.996,00:04.162,00:00.166,00:03.230,00:01.277,00:03.095,00:01.332
1,CSV,Mid-swing,00:04.162,00:04.340,00:00.178,00:03.230,00:01.277,00:03.095,00:01.332
1,CSV,Terminal swing,00:04.340,00:04.506,00:00.166,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Heel strike - Loading response,00:03.095,00:03.228,00:00.133,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Mid-stance,00:03.228,00:03.494,00:00.266,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Terminal stance,00:03.494,00:03.761,00:00.266,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Pre-swing,00:03.761,00:03.894,00:00.133,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Toe-off,00:03.894,00:04.067,00:00.173,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Mid-swing,00:04.067,00:04.253,00:00.186,00:03.230,00:01.277,00:03.095,00:01.332
1,Video,Terminal swing,00:04.253,00:04.426,00:00.173,00:03.230,00:01.277,00:03.095,00:01.332
2,CSV,Heel strike - Loading response,00:04.506,00:04.631,00:00.124,00:04.507,00:01.246,00:04.427,00:01.267
2,CSV,Mid-stance,00:04.631,00:04.880,00:00.249,00:04.507,00:01.246,00:04.427,00:01.267
2,CSV,Terminal stance,00:04.880,00:05.129,00:00.249,00:04.507,00:01.246,00:04.427,00:01.267
2,CSV,Pre-swing,00:05.129,00:05.254,00:00.124,00:04.507,00:01.246,00:04.427,00:01.267
2,CSV,Toe-off,00:05.254,00:05.416,00:00.161,00:04.507,00:01.246,00:04.427,00:01.267
2,CSV,Mid-swing,00:05.416,00:05.591,00:00.174,00:04.507,00:01.246,00:04.427,00:01.267
2,CSV,Terminal swing,00:05.591,00:05.753,00:00.161,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Heel strike - Loading response,00:04.426,00:04.553,00:00.126,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Mid-stance,00:04.553,00:04.807,00:00.253,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Terminal stance,00:04.807,00:05.060,00:00.253,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Pre-swing,00:05.060,00:05.187,00:00.126,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Toe-off,00:05.187,00:05.351,00:00.164,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Mid-swing,00:05.351,00:05.529,00:00.177,00:04.507,00:01.246,00:04.427,00:01.267
2,Video,Terminal swing,00:05.529,00:05.694,00:00.164,00:04.507,00:01.246,00:04.427,00:01.267
5,CSV,Heel strike - Loading response,00:08.414,00:08.547,00:00.132,00:08.415,00:01.323,00:08.359,00:01.366
5,CSV,Mid-stance,00:08.547,00:08.811,00:00.264,00:08.415,00:01.323,00:08.359,00:01.366
5,CSV,Terminal stance,00:08.811,00:09.076,00:00.264,00:08.415,00:01.323,00:08.359,00:01.366
5,CSV,Pre-swing,00:09.076,00:09.208,00:00.132,00:08.415,00:01.323,00:08.359,00:01.366
5,CSV,Toe-off,00:09.208,00:09.380,00:00.171,00:08.415,00:01.323,00:08.359,00:01.366
5,CSV,Mid-swing,00:09.380,00:09.566,00:00.185,00:08.415,00:01.323,00:08.359,00:01.366
5,CSV,Terminal swing,00:09.566,00:09.737,00:00.171,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Heel strike - Loading response,00:08.359,00:08.495,00:00.136,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Mid-stance,00:08.495,00:08.768,00:00.273,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Terminal stance,00:08.768,00:09.041,00:00.273,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Pre-swing,00:09.041,00:09.178,00:00.136,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Toe-off,00:09.178,00:09.356,00:00.177,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Mid-swing,00:09.356,00:09.547,00:00.191,00:08.415,00:01.323,00:08.359,00:01.366
5,Video,Terminal swing,00:09.547,00:09.724,00:00.177,00:08.415,00:01.323,00:08.359,00:01.366
6,CSV,Heel strike - Loading response,00:09.737,00:09.862,00:00.124,00:09.738,00:01.246,00:09.725,00:01.366
6,CSV,Mid-stance,00:09.862,00:10.111,00:00.249,00:09.738,00:01.246,00:09.725,00:01.366
6,CSV,Terminal stance,00:10.111,00:10.361,00:00.249,00:09.738,00:01.246,00:09.725,00:01.366
6,CSV,Pre-swing,00:10.361,00:10.485,00:00.124,00:09.738,00:01.246,00:09.725,00:01.366
6,CSV,Toe-off,00:10.485,00:10.647,00:00.161,00:09.738,00:01.246,00:09.725,00:01.366
6,CSV,Mid-swing,00:10.647,00:10.822,00:00.174,00:09.738,00:01.246,00:09.725,00:01.366
6,CSV,Terminal swing,00:10.822,00:10.984,00:00.161,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Heel strike - Loading response,00:09.724,00:09.861,00:00.136,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Mid-stance,00:09.861,00:10.134,00:00.273,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Terminal stance,00:10.134,00:10.407,00:00.273,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Pre-swing,00:10.407,00:10.544,00:00.136,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Toe-off,00:10.544,00:10.722,00:00.177,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Mid-swing,00:10.722,00:10.913,00:00.191,00:09.738,00:01.246,00:09.725,00:01.366
6,Video,Terminal swing,00:10.913,00:11.090,00:00.177,00:09.738,00:01.246,00:09.725,00:01.366
9,CSV,Heel strike - Loading response,00:13.952,00:14.088,00:00.135,00:13.953,00:01.354,00:13.923,00:01.499
9,CSV,Mid-stance,00:14.088,00:14.359,00:00.270,00:13.953,00:01.354,00:13.923,00:01.499
9,CSV,Terminal stance,00:14.359,00:14.630,00:00.270,00:13.953,00:01.354,00:13.923,00:01.499
9,CSV,Pre-swing,00:14.630,00:14.765,00:00.135,00:13.953,00:01.354,00:13.923,00:01.499
9,CSV,Toe-off,00:14.765,00:14.941,00:00.176,00:13.953,00:01.354,00:13.923,00:01.499
9,CSV,Mid-swing,00:14.941,00:15.130,00:00.189,00:13.953,00:01.354,00:13.923,00:01.499
9,CSV,Terminal swing,00:15.130,00:15.307,00:00.176,00:13.953,00:01.354,00:13.923,00:01.499
9,Video,Heel strike - Loading response,00:13.923,00:14.072,00:00.149,00:13.953,00:01.354,00:13.923,00:01.499
9,Video,Mid-stance,00:14.072,00:14.372,00:00.299,00:13.953,00:01.354,00:13.923,00:01.499
9,Video,Terminal stance,00:14.372,00:14.672,00:00.299,00:13.953,00:01.354,00:13.923,00:01.499
