Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:02.507,00:02.622,00:00.115,00:02.507,00:01.154,00:02.298,00:01.496
1,CSV,Mid-stance,00:02.622,00:02.853,00:00.230,00:02.507,00:01.154,00:02.298,00:01.496
1,CSV,Terminal stance,00:02.853,00:03.084,00:00.230,00:02.507,00:01.154,00:02.298,00:01.496
1,CSV,Pre-swing,00:03.084,00:03.199,00:00.115,00:02.507,00:01.154,00:02.298,00:01.496
1,CSV,Toe-off,00:03.199,00:03.349,00:00.150,00:02.507,00:01.154,00:02.298,00:01.496
1,CSV,Mid-swing,00:03.349,00:03.510,00:00.161,00:02.507,00:01.154,00:02.298,00:01.496
1,CSV,Terminal swing,00:03.510,00:03.661,00:00.150,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Heel strike - Loading response,00:02.298,00:02.447,00:00.149,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Mid-stance,00:02.447,00:02.746,00:00.299,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Terminal stance,00:02.746,00:03.045,00:00.299,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Pre-swing,00:03.045,00:03.195,00:00.149,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Toe-off,00:03.195,00:03.390,00:00.194,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Mid-swing,00:03.390,00:03.599,00:00.209,00:02.507,00:01.154,00:02.298,00:01.496
1,Video,Terminal swing,00:03.599,00:03.794,00:00.194,00:02.507,00:01.154,00:02.298,00:01.496
2,CSV,Heel strike - Loading response,00:03.923,00:04.039,00:00.116,00:03.923,00:01.169,00:03.794,00:01.266
2,CSV,Mid-stance,00:04.039,00:04.273,00:00.233,00:03.923,00:01.169,00:03.794,00:01.266
2,CSV,Terminal stance,00:04.273,00:04.507,00:00.233,00:03.923,00:01.169,00:03.794,00:01.266
2,CSV,Pre-swing,00:04.507,00:04.624,00:00.116,00:03.923,00:01.169,00:03.794,00:01.266
2,CSV,Toe-off,00:04.624,00:04.776,00:00.151,00:03.923,00:01.169,00:03.794,00:01.266
2,CSV,Mid-swing,00:04.776,00:04.940,00:00.163,00:03.923,00:01.169,00:03.794,00:01.266
2,CSV,Terminal swing,00:04.940,00:05.091,00:00.151,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Heel strike - Loading response,00:03.794,00:03.920,00:00.126,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Mid-stance,00:03.920,00:04.173,00:00.253,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Terminal stance,00:04.173,00:04.426,00:00.253,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Pre-swing,00:04.426,00:04.553,00:00.126,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Toe-off,00:04.553,00:04.718,00:00.164,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Mid-swing,00:04.718,00:04.895,00:00.177,00:03.923,00:01.169,00:03.794,00:01.266
2,Video,Terminal swing,00:04.895,00:05.059,00:00.164,00:03.923,00:01.169,00:03.794,00:01.266
3,CSV,Heel strike - Loading response,00:05.091,00:05.227,00:00.135,00:05.092,00:01.354,00:05.060,00:01.267
3,CSV,Mid-stance,00:05.227,00:05.498,00:00.270,00:05.092,00:01.354,00:05.060,00:01.267
3,CSV,Terminal stance,00:05.498,00:05.769,00:00.270,00:05.092,00:01.354,00:05.060,00:01.267
3,CSV,Pre-swing,00:05.769,00:05.904,00:00.135,00:05.092,00:01.354,00:05.060,00:01.267
3,CSV,Toe-off,00:05.904,00:06.080,00:00.176,00:05.092,00:01.354,00:05.060,00:01.267
3,CSV,Mid-swing,00:06.080,00:06.269,00:00.189,00:05.092,00:01.354,00:05.060,00:01.267
3,CSV,Terminal swing,00:06.269,00:06.445,00:00.176,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Heel strike - Loading response,00:05.059,00:05.186,00:00.126,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Mid-stance,00:05.186,00:05.440,00:00.253,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Terminal stance,00:05.440,00:05.693,00:00.253,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Pre-swing,00:05.693,00:05.820,00:00.126,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Toe-off,00:05.820,00:05.984,00:00.164,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Mid-swing,00:05.984,00:06.162,00:00.177,00:05.092,00:01.354,00:05.060,00:01.267
3,Video,Terminal swing,00:06.162,00:06.326,00:00.164,00:05.092,00:01.354,00:05.060,00:01.267
6,CSV,Heel strike - Loading response,00:09.045,00:09.176,00:00.130,00:09.046,00:01.307,00:09.059,00:01.332
6,CSV,Mid-stance,00:09.176,00:09.438,00:00.261,00:09.046,00:01.307,00:09.059,00:01.332
6,CSV,Terminal stance,00:09.438,00:09.699,00:00.261,00:09.046,00:01.307,00:09.059,00:01.332
6,CSV,Pre-swing,00:09.699,00:09.830,00:00.130,00:09.046,00:01.307,00:09.059,00:01.332
6,CSV,Toe-off,00:09.830,00:10.000,00:00.169,00:09.046,00:01.307,00:09.059,00:01.332
6,CSV,Mid-swing,00:10.000,00:10.183,00:00.182,00:09.046,00:01.307,00:09.059,00:01.332
6,CSV,Terminal swing,00:10.183,00:10.352,00:00.169,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Heel strike - Loading response,00:09.058,00:09.192,00:00.133,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Mid-stance,00:09.192,00:09.458,00:00.266,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Terminal stance,00:09.458,00:09.724,00:00.266,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Pre-swing,00:09.724,00:09.858,00:00.133,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Toe-off,00:09.858,00:10.031,00:00.173,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Mid-swing,00:10.031,00:10.217,00:00.186,00:09.046,00:01.307,00:09.059,00:01.332
6,Video,Terminal swing,00:10.217,00:10.391,00:00.173,00:09.046,00:01.307,00:09.059,00:01.332
7,CSV,Heel strike - Loading response,00:10.352,00:10.486,00:00.133,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Mid-stance,00:10.486,00:10.754,00:00.267,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Terminal stance,00:10.754,00:11.022,00:00.267,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Pre-swing,00:11.022,00:11.156,00:00.133,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Toe-off,00:11.156,00:11.330,00:00.174,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Mid-swing,00:11.330,00:11.517,00:00.187,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Terminal swing,00:11.517,00:11.692,00:00.174,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Heel strike - Loading response,00:10.391,00:10.531,00:00.140,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Mid-stance,00:10.531,00:10.811,00:00.280,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Terminal stance,00:10.811,00:11.092,00:00.280,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Pre-swing,00:11.092,00:11.232,00:00.140,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Toe-off,00:11.232,00:11.415,00:00.182,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Mid-swing,00:11.415,00:11.611,00:00.196,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Terminal swing,00:11.611,00:11.794,00:00.182,00:10.353,00:01.339,00:10.391,00:01.403
10,CSV,Heel strike - Loading response,00:14.707,00:14.831,00:00.124,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Mid-stance,00:14.831,00:15.080,00:00.249,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Terminal stance,00:15.080,00:15.330,00:00.249,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Pre-swing,00:15.330,00:15.454,00:00.124,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Toe-off,00:15.454,00:15.616,00:00.161,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Mid-swing,00:15.616,00:15.791,00:00.174,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Terminal swing,00:15.791,00:15.952,00:00.161,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Heel strike - Loading response,00:14.723,00:14.859,00:00.136,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Mid-stance,00:14.859,00:15.132,00:00.273,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Terminal stance,00:15.132,00:15.406,00:00.273,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Pre-swing,00:15.406,00:15.542,00:00.136,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Toe-off,00:15.542,00:15.720,00:00.177,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Mid-swing,00:15.720,00:15.911,00:00.191,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Terminal swing,00:15.911,00:16.088,00:00.177,00:14.707,00:01.246,00:14.723,00:01.366
11,CSV,Heel strike - Loading response,00:15.952,00:16.082,00:00.129,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Mid-stance,00:16.082,00:16.340,00:00.258,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Terminal stance,00:16.340,00:16.599,00:00.258,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Pre-swing,00:16.599,00:16.728,00:00.129,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Toe-off,00:16.728,00:16.896,00:00.168,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Mid-swing,00:16.896,00:17.077,00:00.181,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Terminal swing,00:17.077,00:17.245,00:00.168,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Heel strike - Loading response,00:16.088,00:16.252,00:00.163,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Mid-stance,00:16.252,00:16.578,00:00.326,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Terminal stance,00:16.578,00:16.905,00:00.326,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Pre-swing,00:16.905,00:17.068,00:00.163,00:15.953,00:01.293,00:16.089,00:01.632
