Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:02.507,00:03.923,00:01.154,ninguna,00:02.298,00:03.794,00:01.496,00:00.342,29.64%,2.344608844547227
2,00:03.923,00:05.092,00:01.169,ninguna,00:03.794,00:05.060,00:01.266,00:00.097,8.30%,0.5208245396963349
3,00:05.092,00:06.446,00:01.354,ninguna,00:05.060,00:06.327,00:01.267,-00:00.086,-6.43%,-0.8488746933345389
4,00:06.446,00:07.630,00:01.184,gira,00:06.327,00:07.626,00:01.299,00:00.115,9.71%,
5,00:07.630,00:09.046,00:01.416,gira,00:07.626,00:09.059,00:01.433,00:00.017,1.20%,
6,00:09.046,00:10.353,00:01.307,ninguna,00:09.059,00:10.391,00:01.332,00:00.025,1.91%,-0.01514472540270265
7,00:10.353,00:11.692,00:01.339,ninguna,00:10.391,00:11.794,00:01.403,00:00.064,4.78%,0.275171959859276
8,00:11.692,00:13.184,00:01.492,gira,00:11.794,00:13.157,00:01.363,-00:00.129,-8.65%,
9,00:13.184,00:14.707,00:01.523,gira,00:13.157,00:14.723,00:01.565,00:00.043,2.82%,
10,00:14.707,00:15.953,00:01.246,ninguna,00:14.723,00:16.089,00:01.366,00:00.120,9.63%,0.692036943825194
11,00:15.953,00:17.246,00:01.293,ninguna,00:16.089,00:17.721,00:01.632,00:00.339,26.22%,2.3222767918347667
12,00:17.246,00:18.692,00:01.446,ninguna,00:17.721,00:18.754,00:01.033,-00:00.413,-28.56%,-3.2756244214218477
13,00:18.692,00:20.138,00:01.446,gira,00:18.754,00:20.220,00:01.466,00:00.020,1.38%,
14,00:20.138,00:21.507,00:01.369,gira,00:20.220,00:21.686,00:01.466,00:00.097,7.09%,
15,00:21.507,00:22.876,00:01.369,ninguna,00:21.686,00:23.085,00:01.399,00:00.030,2.19%,0.022075362451397164
16,00:22.876,00:24.261,00:01.385,ninguna,00:23.085,00:24.518,00:01.433,00:00.048,3.47%,0.15606767872615657
17,00:24.261,00:25.692,00:01.431,gira,00:24.518,00:25.951,00:01.433,00:00.002,0.14%,
18,00:25.692,00:27.184,00:01.492,gira,00:25.951,00:27.450,00:01.499,00:00.007,0.47%,
19,00:27.184,00:28.538,00:01.354,ninguna,00:27.450,00:28.916,00:01.466,00:00.112,8.27%,0.6324848032586344
20,00:28.538,00:29.830,00:01.292,ninguna,00:28.916,00:30.182,00:01.266,-00:00.026,-2.01%,-0.39478962151452096
21,00:29.830,00:31.138,00:01.308,ninguna,00:30.182,00:31.515,00:01.333,00:00.025,1.91%,-0.01514472540270265
22,00:31.138,00:32.492,00:01.354,gira,00:31.515,00:32.881,00:01.366,00:00.012,0.89%,
23,00:32.492,00:34.123,00:01.631,gira,00:32.881,00:34.414,00:01.533,-00:00.097,-6.01%,
24,00:34.123,00:35.384,00:01.261,ninguna,00:34.414,00:35.780,00:01.366,00:00.105,8.33%,0.5803766802628947
25,00:35.384,00:36.815,00:01.431,ninguna,00:35.780,00:37.146,00:01.366,-00:00.064,-4.54%,-0.6851063067764996
26,00:36.815,00:38.169,00:01.354,ninguna,00:37.146,00:38.545,00:01.399,00:00.045,3.32%,0.13373562601369665
27,00:38.169,00:39.476,00:01.307,gira,00:38.545,00:39.978,00:01.433,00:00.126,9.64%,
28,00:39.476,00:41.030,00:01.554,gira,00:39.978,00:41.544,00:01.565,00:00.012,0.77%,
29,00:41.030,00:42.415,00:01.385,ninguna,00:41.544,00:42.976,00:01.432,00:00.047,3.39%,0.1486236611553366
30,00:42.415,00:43.800,00:01.385,ninguna,00:42.976,00:44.376,00:01.400,00:00.015,1.08%,-0.08958490111090232
40,00:43.800,00:45.307,00:01.507,ninguna,00:44.376,00:45.775,00:01.399,-00:00.107,-7.17%,-1.0051990623217582
41,00:45.307,00:46.661,00:01.354,gira,00:45.775,00:47.141,00:01.366,00:00.012,0.89%,
42,00:46.661,00:48.015,00:01.354,gira,00:47.141,00:48.574,00:01.433,00:00.079,5.83%,
43,00:48.015,00:49.307,00:01.292,ninguna,00:48.574,00:49.940,00:01.366,00:00.074,5.73%,0.34961213556747567
44,00:49.307,00:50.661,00:01.354,ninguna,00:49.940,00:51.306,00:01.366,00:00.012,0.89%,-0.11191695382336221
