Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:03.281250,00:04.562500,00:01.281250,ninguna,00:03.082000,00:04.409100
02,00:04.562500,00:05.843750,00:01.281250,ninguna,00:04.409100,00:05.696000
03,00:05.843750,00:07.140625,00:01.296875,gira,00:05.696000,00:06.966100
04,00:07.140625,00:08.546875,00:01.406250,gira,00:06.966100,00:08.360100
05,00:08.546875,00:09.875000,00:01.328125,ninguna,00:08.360100,00:09.726900
06,00:09.875000,00:11.203125,00:01.328125,ninguna,00:09.826900,00:11.082600
07,00:11.203125,00:12.656250,00:01.453125,gira,00:11.082600,00:12.473000
08,00:12.656250,00:14.156250,00:01.473000,gira,00:12.473000,00:13.859500
09,00:14.156250,00:15.546875,00:01.390625,ninguna,00:13.859500,00:15.430200
10,00:15.546875,00:16.875000,00:01.328125,ninguna,00:15.430200,00:16.458500
11,00:16.875000,00:18.250000,00:01.375000,ninguna,00:16.458500,00:18.098400
12,00:18.250000,00:19.687500,00:01.437500,gira,00:18.098400,00:19.459900
13,00:19.687500,00:21.140625,00:01.453125,gira,00:19.459900,00:21.011500
14,00:21.140625,00:22.578125,00:01.437500,ninguna,00:21.011500,00:22.430800
15,00:22.578125,00:23.953125,00:01.375000,ninguna,00:22.430800,00:23.797400
16,00:23.953125,00:25.437500,00:01.484375,ninguna,00:23.797400,00:25.251000
17,00:25.437500,00:26.921875,00:01.484375,gira,00:25.251000,00:26.698200
18,00:26.921875,00:28.343750,00:01.421875,gira,00:26.698200,00:28.178000
19,00:28.343750,00:29.671875,00:01.328125,ninguna,00:28.178000,00:29.523400
20,00:29.671875,00:31.000000,00:01.328125,ninguna,00:29.523400,00:30.829500
21,00:31.000000,00:32.453125,00:01.453125,ninguna,00:30.829500,00:32.223400
22,00:32.453125,00:33.859375,00:01.406250,gira,00:32.223400,00:33.627500
23,00:33.859375,00:35.218750,00:01.359375,ninguna,00:33.627500,00:35.186000
24,00:35.218750,00:36.640625,00:01.421875,ninguna,00:35.186000,00:36.507900
25,00:36.640625,00:38.031250,00:01.390625,ninguna,00:36.507900,00:37.890900
26,00:38.031250,00:39.437500,00:01.406250,gira,00:37.890900,00:39.257000
27,00:39.437500,00:40.843750,00:01.406250,gira,00:39.257000,00:40.777800
28,00:40.843750,00:42.437500,00:01.593750,ninguna,00:40.777800,00:42.245400
29,00:42.437500,00:43.828125,00:01.390625,ninguna,00:42.245400,00:43.669300
30,00:43.828125,00:45.218750,00:01.390625,ninguna,00:43.669300,00:45.028900
31,00:45.218750,00:46.593750,00:01.375000,gira,00:45.028900,00:46.404600
32,00:46.593750,00:48.062500,00:01.468750,gira,00:46.404600,00:47.918400
33,00:48.062500,00:49.453125,00:01.390625,ninguna,00:47.918400,00:49.320700
34,00:49.453125,00:50.750000,00:01.296875,ninguna,00:49.320700,00:50.642800
35,00:50.750000,00:52.218750,00:01.468750,ninguna,00:50.642800,00:52.045800
36,00:52.218750,00:53.640625,00:01.421875,gira,00:52.045800,00:53.416800
37,00:53.640625,00:55.078125,00:01.437500,gira,00:53.416800,00:54.945700
38,00:55.078125,00:56.375000,00:01.296875,ninguna,00:54.945700,00:56.263100
39,00:56.375000,00:57.781250,00:01.406250,ninguna,00:56.263100,00:57.605400
40,00:57.781250,00:59.156250,00:01.375000,gira,00:57.605400,00:58.955300
41,00:59.156250,01:00.750000,00:01.593750,gira,00:58.955300,01:00.616600
42,01:00.750000,01:02.312500,00:01.562500,ninguna,01:00.616600,01:02.195500
43,01:02.312500,01:03.656250,00:01.343750,ninguna,01:02.195500,01:03.599700
44,01:03.656250,01:05.140625,00:01.484375,ninguna,01:03.599700,01:05.014000
45,01:05.140625,01:06.562500,00:01.421875,gira,01:05.014000,01:06.346000
46,01:06.562500,01:08.140625,00:01.578125,gira,01:06.346000,01:07.954600
47,01:08.140625,01:09.546875,00:01.406250,ninguna,01:07.954600,01:09.365400
48,01:09.546875,01:10.937500,00:01.390625,ninguna,01:09.365400,01:10.770000
