Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:02.507,00:03.923,00:01.154,ninguna,00:02.298,00:03.794
02,00:03.923,00:05.092,00:01.169,ninguna,00:03.794,00:05.060
03,00:05.092,00:06.446,00:01.354,ninguna,00:05.060,00:06.327
04,00:06.446,00:07.630,00:01.184,gira,00:06.327,00:07.626
05,00:07.630,00:09.046,00:01.416,gira,00:07.626,00:09.059
06,00:09.046,00:10.353,00:01.307,ninguna,00:09.059,00:10.391
07,00:10.353,00:11.692,00:01.339,ninguna,00:10.391,00:11.794
08,00:11.692,00:13.184,00:01.492,gira,00:11.794,00:13.157
09,00:13.184,00:14.707,00:01.523,gira,00:13.157,00:14.723
10,00:14.707,00:15.953,00:01.246,ninguna,00:14.723,00:16.089
11,00:15.953,00:17.246,00:01.293,ninguna,00:16.089,00:17.721
12,00:17.246,00:18.692,00:01.446,ninguna,00:17.721,00:18.754
13,00:18.692,00:20.138,00:01.446,gira,00:18.754,00:20.220
14,00:20.138,00:21.507,00:01.369,gira,00:20.220,00:21.686
15,00:21.507,00:22.876,00:01.369,ninguna,00:21.686,00:23.085
16,00:22.876,00:24.261,00:01.385,ninguna,00:23.085,00:24.518
17,00:24.261,00:25.692,00:01.431,gira,00:24.518,00:25.951
18,00:25.692,00:27.184,00:01.492,gira,00:25.951,00:27.450
19,00:27.184,00:28.538,00:01.354,ninguna,00:27.450,00:28.916
20,00:28.538,00:29.830,00:01.292,ninguna,00:28.916,00:30.182
21,00:29.830,00:31.138,00:01.308,ninguna,00:30.182,00:31.515
22,00:31.138,00:32.492,00:01.354,gira,00:31.515,00:32.881
23,00:32.492,00:34.123,00:01.631,gira,00:32.881,00:34.414
24,00:34.123,00:35.384,00:01.261,ninguna,00:34.414,00:35.780
25,00:35.384,00:36.815,00:01.431,ninguna,00:35.780,00:37.146
26,00:36.815,00:38.169,00:01.354,ninguna,00:37.146,00:38.545
27,00:38.169,00:39.476,00:01.307,gira,00:38.545,00:39.978
28,00:39.476,00:41.030,00:01.554,gira,00:39.978,00:41.544
29,00:41.030,00:42.415,00:01.385,ninguna,00:41.544,00:42.976
30,00:42.415,00:43.800,00:01.385,ninguna,00:42.976,00:44.376
40,00:43.800,00:45.307,00:01.507,ninguna,00:44.376,00:45.775
41,00:45.307,00:46.661,00:01.354,gira,00:45.775,00:47.141
42,00:46.661,00:48.015,00:01.354,gira,00:47.141,00:48.574
43,00:48.015,00:49.307,00:01.292,ninguna,00:48.574,00:49.940
44,00:49.307,00:50.661,00:01.354,ninguna,00:49.940,00:51.306
45,00:50.661,00:52.076,00:01.415,gira,00:51.306,00:52.738
46,00:52.076,00:53.600,00:01.524,gira,00:52.738,00:54.238
47,00:53.600,00:54.846,00:01.246,ninguna,00:54.238,00:55.504
48,00:54.846,00:56.169,00:01.323,ninguna,00:55.504,00:56.936
49,00:56.169,00:57.600,00:01.431,ninguna,00:56.936,00:58.269
50,00:57.600,00:58.969,00:01.369,gira,00:58.269,00:59.735
51,00:58.969,01:00.600,00:01.631,gira,00:59.735,01:01.401
52,01:00.600,01:02.046,00:01.446,ninguna,01:01.401,01:02.834
53,01:02.046,01:03.384,00:01.338,ninguna,01:02.834,01:04.233
54,01:03.384,01:04.907,00:01.523,ninguna,01:04.233,01:05.666
55,01:04.907,01:06.353,00:01.446,gira,01:05.666,01:07.065
56,01:06.353,01:07.738,00:01.385,gira,01:07.065,01:08.698
57,01:07.738,01:09.107,00:01.369,ninguna,01:08.698,01:10.064
58,01:09.107,01:10.476,00:01.369,ninguna,01:10.064,01:11.430
59,01:10.476,01:11.830,00:01.354,gira,01:11.430,01:12.862

