Inicio_zancada,Fin_zancada,Duración_zancada
00:01.828125,00:03.281250,00:01.453125
00:03.281250,00:04.562500,00:01.281250
00:04.562500,00:05.843750,00:01.281250
00:05.843750,00:07.140625,00:01.296875
00:07.140625,00:07.343750,00:00.203125
00:07.343750,00:08.546875,00:01.203125
00:08.546875,00:09.875000,00:01.328125
00:09.875000,00:11.203125,00:01.328125
00:11.203125,00:12.656250,00:01.453125
00:12.656250,00:12.859375,00:00.203125
00:12.859375,00:14.156250,00:01.296875
00:14.156250,00:15.546875,00:01.390625
00:15.546875,00:16.875000,00:01.328125
00:16.875000,00:18.250000,00:01.375000
00:18.250000,00:19.687500,00:01.437500
00:19.687500,00:19.937500,00:00.250000
00:19.937500,00:21.140625,00:01.203125
00:21.140625,00:22.578125,00:01.437500
00:22.578125,00:23.953125,00:01.375000
00:23.953125,00:25.437500,00:01.484375
00:25.437500,00:26.921875,00:01.484375
00:26.921875,00:27.156250,00:00.234375
00:27.156250,00:28.343750,00:01.187500
00:28.343750,00:29.671875,00:01.328125
00:29.671875,00:31.000000,00:01.328125
00:31.000000,00:32.281250,00:01.281250
00:32.281250,00:32.453125,00:00.171875
00:32.453125,00:32.609375,00:00.156250
00:32.609375,00:33.859375,00:01.250000
00:33.859375,00:35.218750,00:01.359375
00:35.218750,00:36.640625,00:01.421875
00:36.640625,00:38.031250,00:01.390625
00:38.031250,00:39.437500,00:01.406250
00:39.437500,00:39.625000,00:00.187500
00:39.625000,00:40.843750,00:01.218750
00:40.843750,00:42.437500,00:01.593750
00:42.437500,00:43.828125,00:01.390625
00:43.828125,00:45.218750,00:01.390625
00:45.218750,00:46.593750,00:01.375000
00:46.593750,00:46.828125,00:00.234375
00:46.828125,00:48.062500,00:01.234375
00:48.062500,00:49.453125,00:01.390625
00:49.453125,00:50.750000,00:01.296875
00:50.750000,00:52.218750,00:01.468750
00:52.218750,00:53.640625,00:01.421875
00:53.640625,00:55.078125,00:01.437500
00:55.078125,00:56.375000,00:01.296875
00:56.375000,00:57.781250,00:01.406250
00:57.781250,00:59.156250,00:01.375000
00:59.156250,01:00.750000,00:01.593750
01:00.750000,01:02.312500,00:01.562500
01:02.312500,01:03.656250,00:01.343750
01:03.656250,01:05.140625,00:01.484375
01:05.140625,01:06.562500,00:01.421875
01:06.562500,01:06.750000,00:00.187500
01:06.750000,01:08.140625,00:01.390625
01:08.140625,01:09.546875,00:01.406250
01:09.546875,01:10.937500,00:01.390625
01:10.937500,01:12.203125,00:01.265625
01:12.203125,01:12.359375,00:00.156250
01:12.359375,01:13.703125,00:01.343750
