Zancada,Inicio,Fin,Duración,LR_dur,MSt_dur,TSt_dur,PSw_dur,Sw_dur
1,00:03.125000,00:04.421875,1.2969,0.0944,0.3094,0.4418,0.0079,0.4433
2,00:04.421875,00:05.703125,1.2812,0.0913,0.2239,0.498,0.0043,0.4636
3,00:08.375000,00:09.734375,1.3594,0.1084,0.2212,0.5332,0.0017,0.4949
4,00:09.734375,00:11.078125,1.3438,0.0803,0.202,0.5525,0.0066,0.5023
5,00:13.937500,00:15.421875,1.4844,0.1374,0.4842,0.3851,0.0075,0.4702
6,00:15.421875,00:16.734375,1.3125,0.0863,0.212,0.5466,0.0033,0.4643
7,00:16.734375,00:18.078125,1.3438,0.105,0.2415,0.5135,0.0092,0.4745
8,00:21.031250,00:22.421875,1.3906,0.1046,0.3252,0.459,0.0049,0.4969
9,00:22.421875,00:23.796875,1.375,0.1004,0.2496,0.5412,0.0045,0.4793
10,00:23.796875,00:25.250000,1.4531,0.1039,0.2456,0.589,0.0061,0.5084
11,00:28.187500,00:29.531250,1.3438,0.1067,0.2178,0.5461,0.0054,0.4677
12,00:29.531250,00:30.828125,1.2969,0.083,0.2256,0.5255,0.0054,0.4575
13,00:30.828125,00:32.218750,1.3906,0.1112,0.253,0.5323,0.0098,0.4843
14,00:32.218750,00:33.656250,1.4375,0.1421,0.5928,0.2035,0.0042,0.4948
15,00:33.656250,00:35.156250,1.5,0.2214,0.3399,0.4476,0.0146,0.4765
16,00:35.156250,00:36.500000,1.3438,0.0776,0.2066,0.5674,0.0126,0.4796
17,00:36.500000,00:37.859375,1.3594,0.0999,0.25,0.5318,0.0072,0.4704
18,00:40.781250,00:42.265625,1.4844,0.1171,0.2821,0.5673,0.0064,0.5113
19,00:42.265625,00:43.671875,1.4062,0.1044,0.3178,0.4679,0.0086,0.5075
20,00:43.671875,00:45.031250,1.3594,0.0775,0.2726,0.5302,0.0037,0.4754
21,00:47.921875,00:49.296875,1.375,0.1261,0.2347,0.4988,0.0137,0.5018
22,00:49.296875,00:50.640625,1.3438,0.1123,0.2141,0.5391,0.0037,0.4745
23,00:50.640625,00:52.046875,1.4062,0.0973,0.1919,0.6048,0.0067,0.5056
24,00:54.937500,00:56.250000,1.3125,0.0883,0.2241,0.5113,0.0096,0.4791
25,00:56.250000,00:57.609375,1.3594,0.0879,0.1837,0.6058,0.0035,0.4784
26,01:00.609375,01:02.171875,1.5625,0.1152,0.2956,0.6381,0.0038,0.5097
27,01:02.171875,01:03.562500,1.3906,0.0766,0.2442,0.5747,0.0082,0.4869
28,01:03.562500,01:05.015625,1.4531,0.1044,0.2113,0.6056,0.0118,0.5199
29,01:07.953125,01:09.375000,1.4219,0.0961,0.3846,0.4353,0.0066,0.4992
30,01:09.375000,01:10.765625,1.3906,0.1078,0.27,0.5208,0.006,0.4861
