PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,PressureSensor 32,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
1304,1068,1398,802,448,1680,864,921,945,702,389,643,33,91,214,54,86,1241,1787,991,74,1257,1905,2354,999,642,28,752,1801,192,320,87,-1085,965,8286,-33,-189,-13,95.34479518257135,284.4346041730592,26072
1316,1071,1404,802,441,1661,856,905,935,696,388,619,36,86,215,56,81,1241,1791,1024,114,1289,1919,2366,1001,643,28,752,1792,185,332,89,-1075,901,8310,16,-159,-5,95.11662967781434,285.75441953011403,26134
1322,1071,1402,796,442,1658,857,905,920,697,388,629,35,93,219,57,83,1245,1796,1014,115,1277,1896,2360,1000,643,28,755,1799,194,343,91,-1073,930,8271,51,-122,12,95.10740528128588,285.2237849215461,26130
1307,1065,1393,797,430,1685,874,916,931,708,394,657,33,91,214,57,88,1233,1792,956,90,1208,1860,2344,1007,646,28,764,1816,202,355,92,-1073,930,8271,51,-122,12,95.2590942265586,283.0289632389659,26033
1282,1053,1380,789,416,1726,886,927,951,715,393,679,32,96,210,58,73,1219,1798,905,73,1135,1813,2319,1015,655,29,788,1839,209,369,93,-1082,930,8224,57,-103,18,95.32736740597879,280.3525168756027,25925
1255,1044,1363,783,416,1752,894,943,966,719,398,701,33,102,218,59,69,1209,1798,840,62,1066,1777,2294,1025,666,28,801,1836,238,382,95,-1081,938,8219,46,-131,24,95.37811628987302,277.7807177144627,25832
1236,1034,1351,777,421,1775,903,956,988,727,406,717,34,100,230,58,53,1201,1793,801,58,1037,1745,2278,1039,670,27,820,1844,240,381,96,-1097,930,8238,43,-139,43,95.40112808187315,275.8977554659637,25796
1219,1023,1340,766,415,1790,912,961,989,731,405,741,27,106,241,56,59,1197,1800,741,57,1005,1714,2266,1033,676,28,838,1853,249,394,97,-1121,988,8260,46,-183,81,95.36400559679738,274.34375607291383,25729
1223,1022,1343,771,410,1789,914,965,991,736,404,752,27,108,236,53,61,1195,1803,729,62,1010,1716,2271,1029,673,29,843,1852,245,398,97,-1109,926,8256,47,-176,48,95.37607252397406,274.38300267888343,25757
1228,1025,1347,773,406,1792,912,967,989,738,400,750,26,105,239,55,63,1196,1805,739,59,1018,1720,2269,1025,667,28,829,1851,244,394,97,-1109,926,8256,47,-176,48,95.47429725112595,274.7518054045659,25756
