Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:01.984,00:02.080,00:00.096,00:01.984,00:00.969,00:01.740,00:01.130
1,CSV,Mid-stance,00:02.080,00:02.274,00:00.193,00:01.984,00:00.969,00:01.740,00:01.130
1,CSV,Terminal stance,00:02.274,00:02.468,00:00.193,00:01.984,00:00.969,00:01.740,00:01.130
1,CSV,Pre-swing,00:02.468,00:02.565,00:00.096,00:01.984,00:00.969,00:01.740,00:01.130
1,CSV,Toe-off,00:02.565,00:02.691,00:00.125,00:01.984,00:00.969,00:01.740,00:01.130
1,CSV,Mid-swing,00:02.691,00:02.827,00:00.135,00:01.984,00:00.969,00:01.740,00:01.130
1,CSV,Terminal swing,00:02.827,00:02.952,00:00.125,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Heel strike - Loading response,00:01.740,00:01.853,00:00.113,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Mid-stance,00:01.853,00:02.079,00:00.226,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Terminal stance,00:02.079,00:02.305,00:00.226,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Pre-swing,00:02.305,00:02.418,00:00.113,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Toe-off,00:02.418,00:02.564,00:00.146,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Mid-swing,00:02.564,00:02.723,00:00.158,00:01.984,00:00.969,00:01.740,00:01.130
1,Video,Terminal swing,00:02.723,00:02.870,00:00.146,00:01.984,00:00.969,00:01.740,00:01.130
2,CSV,Heel strike - Loading response,00:02.952,00:03.062,00:00.109,00:02.953,00:01.093,00:02.870,00:01.133
2,CSV,Mid-stance,00:03.062,00:03.280,00:00.218,00:02.953,00:01.093,00:02.870,00:01.133
2,CSV,Terminal stance,00:03.280,00:03.499,00:00.218,00:02.953,00:01.093,00:02.870,00:01.133
2,CSV,Pre-swing,00:03.499,00:03.608,00:00.109,00:02.953,00:01.093,00:02.870,00:01.133
2,CSV,Toe-off,00:03.608,00:03.750,00:00.142,00:02.953,00:01.093,00:02.870,00:01.133
2,CSV,Mid-swing,00:03.750,00:03.903,00:00.153,00:02.953,00:01.093,00:02.870,00:01.133
2,CSV,Terminal swing,00:03.903,00:04.046,00:00.142,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Heel strike - Loading response,00:02.870,00:02.983,00:00.113,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Mid-stance,00:02.983,00:03.209,00:00.226,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Terminal stance,00:03.209,00:03.436,00:00.226,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Pre-swing,00:03.436,00:03.549,00:00.113,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Toe-off,00:03.549,00:03.697,00:00.147,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Mid-swing,00:03.697,00:03.855,00:00.158,00:02.953,00:01.093,00:02.870,00:01.133
2,Video,Terminal swing,00:03.855,00:04.003,00:00.147,00:02.953,00:01.093,00:02.870,00:01.133
3,CSV,Heel strike - Loading response,00:04.046,00:04.153,00:00.107,00:04.046,00:01.077,00:04.003,00:01.099
3,CSV,Mid-stance,00:04.153,00:04.369,00:00.215,00:04.046,00:01.077,00:04.003,00:01.099
