Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,CSV,Heel strike - Loading response,00:02.352,00:02.460,00:00.107,00:02.353,00:01.077,00:02.370,00:01.100
1,CSV,Mid-stance,00:02.460,00:02.676,00:00.215,00:02.353,00:01.077,00:02.370,00:01.100
1,CSV,Terminal stance,00:02.676,00:02.891,00:00.215,00:02.353,00:01.077,00:02.370,00:01.100
1,CSV,Pre-swing,00:02.891,00:02.999,00:00.107,00:02.353,00:01.077,00:02.370,00:01.100
1,CSV,Toe-off,00:02.999,00:03.139,00:00.140,00:02.353,00:01.077,00:02.370,00:01.100
1,CSV,Mid-swing,00:03.139,00:03.289,00:00.150,00:02.353,00:01.077,00:02.370,00:01.100
1,CSV,Terminal swing,00:03.289,00:03.430,00:00.140,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Heel strike - Loading response,00:02.370,00:02.480,00:00.110,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Mid-stance,00:02.480,00:02.700,00:00.220,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Terminal stance,00:02.700,00:02.919,00:00.220,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Pre-swing,00:02.919,00:03.029,00:00.110,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Toe-off,00:03.029,00:03.173,00:00.143,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Mid-swing,00:03.173,00:03.326,00:00.154,00:02.353,00:01.077,00:02.370,00:01.100
1,Video,Terminal swing,00:03.326,00:03.469,00:00.143,00:02.353,00:01.077,00:02.370,00:01.100
2,CSV,Heel strike - Loading response,00:03.430,00:03.537,00:00.107,00:03.430,00:01.077,00:03.470,00:01.099
2,CSV,Mid-stance,00:03.537,00:03.753,00:00.215,00:03.430,00:01.077,00:03.470,00:01.099
2,CSV,Terminal stance,00:03.753,00:03.968,00:00.215,00:03.430,00:01.077,00:03.470,00:01.099
2,CSV,Pre-swing,00:03.968,00:04.076,00:00.107,00:03.430,00:01.077,00:03.470,00:01.099
2,CSV,Toe-off,00:04.076,00:04.216,00:00.140,00:03.430,00:01.077,00:03.470,00:01.099
2,CSV,Mid-swing,00:04.216,00:04.366,00:00.150,00:03.430,00:01.077,00:03.470,00:01.099
2,CSV,Terminal swing,00:04.366,00:04.506,00:00.140,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Heel strike - Loading response,00:03.469,00:03.579,00:00.109,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Mid-stance,00:03.579,00:03.799,00:00.219,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Terminal stance,00:03.799,00:04.019,00:00.219,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Pre-swing,00:04.019,00:04.129,00:00.109,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Toe-off,00:04.129,00:04.272,00:00.142,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Mid-swing,00:04.272,00:04.426,00:00.153,00:03.430,00:01.077,00:03.470,00:01.099
2,Video,Terminal swing,00:04.426,00:04.569,00:00.142,00:03.430,00:01.077,00:03.470,00:01.099
3,CSV,Heel strike - Loading response,00:04.506,00:04.622,00:00.115,00:04.507,00:01.154,00:04.569,00:01.133
3,CSV,Mid-stance,00:04.622,00:04.853,00:00.230,00:04.507,00:01.154,00:04.569,00:01.133
3,CSV,Terminal stance,00:04.853,00:05.083,00:00.230,00:04.507,00:01.154,00:04.569,00:01.133
3,CSV,Pre-swing,00:05.083,00:05.199,00:00.115,00:04.507,00:01.154,00:04.569,00:01.133
3,CSV,Toe-off,00:05.199,00:05.349,00:00.150,00:04.507,00:01.154,00:04.569,00:01.133
3,CSV,Mid-swing,00:05.349,00:05.510,00:00.161,00:04.507,00:01.154,00:04.569,00:01.133
3,CSV,Terminal swing,00:05.510,00:05.660,00:00.150,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Heel strike - Loading response,00:04.569,00:04.682,00:00.113,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Mid-stance,00:04.682,00:04.908,00:00.226,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Terminal stance,00:04.908,00:05.135,00:00.226,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Pre-swing,00:05.135,00:05.248,00:00.113,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Toe-off,00:05.248,00:05.396,00:00.147,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Mid-swing,00:05.396,00:05.554,00:00.158,00:04.507,00:01.154,00:04.569,00:01.133
3,Video,Terminal swing,00:05.554,00:05.702,00:00.147,00:04.507,00:01.154,00:04.569,00:01.133
5,CSV,Heel strike - Loading response,00:08.538,00:08.654,00:00.116,00:08.538,00:01.169,00:08.634,00:01.166
5,CSV,Mid-stance,00:08.654,00:08.888,00:00.233,00:08.538,00:01.169,00:08.634,00:01.166
5,CSV,Terminal stance,00:08.888,00:09.122,00:00.233,00:08.538,00:01.169,00:08.634,00:01.166
5,CSV,Pre-swing,00:09.122,00:09.239,00:00.116,00:08.538,00:01.169,00:08.634,00:01.166
5,CSV,Toe-off,00:09.239,00:09.391,00:00.151,00:08.538,00:01.169,00:08.634,00:01.166
5,CSV,Mid-swing,00:09.391,00:09.555,00:00.163,00:08.538,00:01.169,00:08.634,00:01.166
5,CSV,Terminal swing,00:09.555,00:09.707,00:00.151,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Heel strike - Loading response,00:08.634,00:08.750,00:00.116,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Mid-stance,00:08.750,00:08.983,00:00.233,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Terminal stance,00:08.983,00:09.217,00:00.233,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Pre-swing,00:09.217,00:09.333,00:00.116,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Toe-off,00:09.333,00:09.485,00:00.151,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Mid-swing,00:09.485,00:09.648,00:00.163,00:08.538,00:01.169,00:08.634,00:01.166
5,Video,Terminal swing,00:09.648,00:09.800,00:00.151,00:08.538,00:01.169,00:08.634,00:01.166
6,CSV,Heel strike - Loading response,00:09.707,00:09.828,00:00.121,00:09.707,00:01.216,00:09.800,00:01.233
6,CSV,Mid-stance,00:09.828,00:10.071,00:00.243,00:09.707,00:01.216,00:09.800,00:01.233
6,CSV,Terminal stance,00:10.071,00:10.314,00:00.243,00:09.707,00:01.216,00:09.800,00:01.233
6,CSV,Pre-swing,00:10.314,00:10.436,00:00.121,00:09.707,00:01.216,00:09.800,00:01.233
6,CSV,Toe-off,00:10.436,00:10.594,00:00.158,00:09.707,00:01.216,00:09.800,00:01.233
6,CSV,Mid-swing,00:10.594,00:10.764,00:00.170,00:09.707,00:01.216,00:09.800,00:01.233
6,CSV,Terminal swing,00:10.764,00:10.923,00:00.158,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Heel strike - Loading response,00:09.800,00:09.923,00:00.123,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Mid-stance,00:09.923,00:10.169,00:00.246,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Terminal stance,00:10.169,00:10.416,00:00.246,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Pre-swing,00:10.416,00:10.539,00:00.123,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Toe-off,00:10.539,00:10.700,00:00.160,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Mid-swing,00:10.700,00:10.872,00:00.172,00:09.707,00:01.216,00:09.800,00:01.233
6,Video,Terminal swing,00:10.872,00:11.032,00:00.160,00:09.707,00:01.216,00:09.800,00:01.233
7,CSV,Heel strike - Loading response,00:10.923,00:11.052,00:00.129,00:10.923,00:01.292,00:11.033,00:01.332
7,CSV,Mid-stance,00:11.052,00:11.310,00:00.258,00:10.923,00:01.292,00:11.033,00:01.332
7,CSV,Terminal stance,00:11.310,00:11.568,00:00.258,00:10.923,00:01.292,00:11.033,00:01.332
7,CSV,Pre-swing,00:11.568,00:11.698,00:00.129,00:10.923,00:01.292,00:11.033,00:01.332
7,CSV,Toe-off,00:11.698,00:11.866,00:00.167,00:10.923,00:01.292,00:11.033,00:01.332
7,CSV,Mid-swing,00:11.866,00:12.047,00:00.180,00:10.923,00:01.292,00:11.033,00:01.332
7,CSV,Terminal swing,00:12.047,00:12.214,00:00.167,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Heel strike - Loading response,00:11.032,00:11.166,00:00.133,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Mid-stance,00:11.166,00:11.432,00:00.266,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Terminal stance,00:11.432,00:11.698,00:00.266,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Pre-swing,00:11.698,00:11.832,00:00.133,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Toe-off,00:11.832,00:12.005,00:00.173,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Mid-swing,00:12.005,00:12.191,00:00.186,00:10.923,00:01.292,00:11.033,00:01.332
7,Video,Terminal swing,00:12.191,00:12.365,00:00.173,00:10.923,00:01.292,00:11.033,00:01.332
9,CSV,Heel strike - Loading response,00:13.676,00:13.791,00:00.115,00:13.676,00:01.154,00:13.732,00:01.299
9,CSV,Mid-stance,00:13.791,00:14.022,00:00.230,00:13.676,00:01.154,00:13.732,00:01.299
9,CSV,Terminal stance,00:14.022,00:14.253,00:00.230,00:13.676,00:01.154,00:13.732,00:01.299
9,CSV,Pre-swing,00:14.253,00:14.368,00:00.115,00:13.676,00:01.154,00:13.732,00:01.299
9,CSV,Toe-off,00:14.368,00:14.518,00:00.150,00:13.676,00:01.154,00:13.732,00:01.299
9,CSV,Mid-swing,00:14.518,00:14.679,00:00.161,00:13.676,00:01.154,00:13.732,00:01.299
9,CSV,Terminal swing,00:14.679,00:14.830,00:00.150,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Heel strike - Loading response,00:13.731,00:13.861,00:00.129,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Mid-stance,00:13.861,00:14.121,00:00.259,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Terminal stance,00:14.121,00:14.381,00:00.259,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Pre-swing,00:14.381,00:14.511,00:00.129,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Toe-off,00:14.511,00:14.680,00:00.168,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Mid-swing,00:14.680,00:14.862,00:00.181,00:13.676,00:01.154,00:13.732,00:01.299
9,Video,Terminal swing,00:14.862,00:15.031,00:00.168,00:13.676,00:01.154,00:13.732,00:01.299
10,CSV,Heel strike - Loading response,00:14.830,00:14.942,00:00.112,00:14.830,00:01.123,00:15.031,00:01.166
10,CSV,Mid-stance,00:14.942,00:15.166,00:00.224,00:14.830,00:01.123,00:15.031,00:01.166
10,CSV,Terminal stance,00:15.166,00:15.391,00:00.224,00:14.830,00:01.123,00:15.031,00:01.166
10,CSV,Pre-swing,00:15.391,00:15.503,00:00.112,00:14.830,00:01.123,00:15.031,00:01.166
10,CSV,Toe-off,00:15.503,00:15.649,00:00.145,00:14.830,00:01.123,00:15.031,00:01.166
10,CSV,Mid-swing,00:15.649,00:15.807,00:00.157,00:14.830,00:01.123,00:15.031,00:01.166
10,CSV,Terminal swing,00:15.807,00:15.952,00:00.145,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Heel strike - Loading response,00:15.031,00:15.147,00:00.116,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Mid-stance,00:15.147,00:15.380,00:00.233,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Terminal stance,00:15.380,00:15.614,00:00.233,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Pre-swing,00:15.614,00:15.730,00:00.116,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Toe-off,00:15.730,00:15.882,00:00.151,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Mid-swing,00:15.882,00:16.045,00:00.163,00:14.830,00:01.123,00:15.031,00:01.166
10,Video,Terminal swing,00:16.045,00:16.196,00:00.151,00:14.830,00:01.123,00:15.031,00:01.166
11,CSV,Heel strike - Loading response,00:15.952,00:16.070,00:00.117,00:15.953,00:01.170,00:16.197,00:01.133
11,CSV,Mid-stance,00:16.070,00:16.303,00:00.234,00:15.953,00:01.170,00:16.197,00:01.133
11,CSV,Terminal stance,00:16.303,00:16.538,00:00.234,00:15.953,00:01.170,00:16.197,00:01.133
11,CSV,Pre-swing,00:16.538,00:16.655,00:00.117,00:15.953,00:01.170,00:16.197,00:01.133
11,CSV,Toe-off,00:16.655,00:16.807,00:00.152,00:15.953,00:01.170,00:16.197,00:01.133
11,CSV,Mid-swing,00:16.807,00:16.970,00:00.163,00:15.953,00:01.170,00:16.197,00:01.133
11,CSV,Terminal swing,00:16.970,00:17.123,00:00.152,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Heel strike - Loading response,00:16.196,00:16.310,00:00.113,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Mid-stance,00:16.310,00:16.536,00:00.226,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Terminal stance,00:16.536,00:16.763,00:00.226,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Pre-swing,00:16.763,00:16.876,00:00.113,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Toe-off,00:16.876,00:17.024,00:00.147,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Mid-swing,00:17.024,00:17.182,00:00.158,00:15.953,00:01.170,00:16.197,00:01.133
11,Video,Terminal swing,00:17.182,00:17.329,00:00.147,00:15.953,00:01.170,00:16.197,00:01.133
15,CSV,Heel strike - Loading response,00:19.952,00:20.076,00:00.123,00:19.953,00:01.231,00:20.195,00:01.266
15,CSV,Mid-stance,00:20.076,00:20.322,00:00.246,00:19.953,00:01.231,00:20.195,00:01.266
15,CSV,Terminal stance,00:20.322,00:20.568,00:00.246,00:19.953,00:01.231,00:20.195,00:01.266
15,CSV,Pre-swing,00:20.568,00:20.691,00:00.123,00:19.953,00:01.231,00:20.195,00:01.266
15,CSV,Toe-off,00:20.691,00:20.851,00:00.160,00:19.953,00:01.231,00:20.195,00:01.266
