Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia,Duración_zancada_CSV_sec
1,00:01.984,00:02.953,00:00.969,ninguna,00:01.774,00:02.870,00:01.096,00:00.127,13.11%,0.5902913782062151,0.969
2,00:02.953,00:04.046,00:01.093,ninguna,00:02.870,00:04.003,00:01.133,00:00.040,3.66%,-0.0530369791217679,1.093
3,00:04.046,00:05.123,00:01.077,ninguna,00:04.003,00:05.102,00:01.099,00:00.022,2.04%,-0.1861393978792817,1.077
6,00:08.353,00:09.446,00:01.193,ninguna,00:08.001,00:09.267,00:01.266,00:00.073,6.12%,0.1909841219336738,1.193
7,00:09.446,00:10.384,00:00.938,ninguna,00:09.267,00:10.400,00:01.133,00:00.195,20.79%,1.093122737956823,0.938
8,00:10.384,00:11.615,00:01.231,ninguna,00:10.400,00:11.666,00:01.266,00:00.035,2.84%,-0.0900098732210773,1.231
10,00:14.323,00:15.476,00:01.153,ninguna,00:14.431,00:15.597,00:01.166,00:00.013,1.13%,-0.2526906072580386,1.153
11,00:15.476,00:16.615,00:01.139,ninguna,00:15.597,00:16.763,00:01.166,00:00.027,2.37%,-0.1491665037799723,1.139
14,00:19.353,00:20.646,00:01.293,ninguna,00:19.462,00:20.862,00:01.400,00:00.107,8.28%,0.4423998018089776,1.293
15,00:20.646,00:21.907,00:01.261,ninguna,00:20.862,00:22.128,00:01.266,00:00.005,0.40%,-0.3118472378169336,1.261
16,00:21.907,00:23.138,00:01.231,ninguna,00:22.128,00:23.360,00:01.232,00:00.001,0.08%,-0.341425553096381,1.231
18,00:25.846,00:26.953,00:01.107,ninguna,00:26.059,00:27.225,00:01.166,00:00.059,5.33%,0.0874600184556076,1.107
19,00:26.953,00:28.215,00:01.262,ninguna,00:27.225,00:28.458,00:01.233,-00:00.029,-2.30%,-0.5632629176922372,1.262
22,00:31.138,00:32.092,00:01.154,ninguna,00:31.123,00:32.489,00:01.366,00:00.212,18.37%,1.2188305778944744,1.154
23,00:32.092,00:33.323,00:01.231,ninguna,00:32.489,00:33.756,00:01.267,00:00.036,2.92%,-0.0826152944012154,1.231
25,00:37.430,00:38.800,00:01.370,ninguna,00:37.854,00:39.086,00:01.232,-00:00.138,-10.07%,-1.3692720090571815,1.37
26,00:38.800,00:40.030,00:01.220,ninguna,00:39.086,00:40.319,00:01.233,00:00.013,1.07%,-0.2526906072580386,1.22
29,00:42.969,00:44.123,00:01.154,ninguna,00:43.018,00:44.451,00:01.433,00:00.279,24.18%,1.7142673588252202,1.154
30,00:44.123,00:45.307,00:01.184,ninguna,00:44.451,00:45.683,00:01.232,00:00.048,4.05%,0.006119651437127,1.184
31,00:45.307,00:46.323,00:01.016,ninguna,00:45.683,00:46.916,00:01.233,00:00.217,21.36%,1.2558034719937836,1.016
