Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia,Duración_zancada_CSV_sec
1,00:02.353,00:03.430,00:01.077,ninguna,00:02.370,00:03.470,00:01.100,00:00.023,2.14%,-0.1035311527914815,1.077
2,00:03.430,00:04.507,00:01.077,ninguna,00:03.470,00:04.569,00:01.099,00:00.022,2.04%,-0.1281104912239915,1.077
3,00:04.507,00:05.661,00:01.154,ninguna,00:04.569,00:05.702,00:01.133,-00:00.021,-1.82%,-1.1850220438219214,1.154
5,00:08.538,00:09.707,00:01.169,ninguna,00:08.634,00:09.800,00:01.166,-00:00.003,-0.26%,-0.7425939520367414,1.169
6,00:09.707,00:10.923,00:01.216,ninguna,00:09.800,00:11.033,00:01.233,00:00.017,1.40%,-0.2510071833865414,1.216
7,00:10.923,00:12.215,00:01.292,ninguna,00:11.033,00:12.365,00:01.332,00:00.040,3.10%,0.3143176005611884,1.292
9,00:13.676,00:14.830,00:01.154,ninguna,00:13.732,00:15.031,00:01.299,00:00.145,12.56%,2.895148135974738,1.154
10,00:14.830,00:15.953,00:01.123,ninguna,00:15.031,00:16.197,00:01.166,00:00.043,3.83%,0.3880556158587183,1.123
11,00:15.953,00:17.123,00:01.170,ninguna,00:16.197,00:17.330,00:01.133,-00:00.037,-3.16%,-1.578291458742081,1.17
15,00:19.953,00:21.184,00:01.231,ninguna,00:20.195,00:21.461,00:01.266,00:00.035,2.84%,0.1914209083986385,1.231
16,00:21.184,00:22.384,00:01.200,ninguna,00:21.461,00:22.661,00:01.200,00:00.000,0.00%,-0.6688559367392114,1.2
20,00:24.938,00:26.323,00:01.385,ninguna,00:25.226,00:26.659,00:01.433,00:00.048,3.47%,0.5109523080212685,1.385
21,00:26.323,00:27.446,00:01.123,ninguna,00:26.659,00:27.825,00:01.166,00:00.043,3.83%,0.3880556158587183,1.123
22,00:27.446,00:28.676,00:01.230,ninguna,00:27.825,00:29.091,00:01.266,00:00.036,2.93%,0.2160002468311484,1.23
25,00:31.415,00:32.630,00:01.215,ninguna,00:31.790,00:33.056,00:01.266,00:00.051,4.20%,0.5846903233187983,1.215
26,00:32.630,00:33.876,00:01.246,ninguna,00:33.056,00:34.355,00:01.299,00:00.053,4.25%,0.6338490001838184,1.246
28,00:35.338,00:36.630,00:01.292,ninguna,00:35.788,00:37.021,00:01.233,-00:00.059,-4.57%,-2.1190369042573014,1.292
29,00:36.630,00:37.953,00:01.323,ninguna,00:37.021,00:38.487,00:01.466,00:00.143,10.81%,2.8459894591097177,1.323
30,00:37.953,00:39.153,00:01.200,ninguna,00:38.487,00:39.686,00:01.199,-00:00.001,-0.08%,-0.6934352751717214,1.2
31,00:39.153,00:40.292,00:01.139,ninguna,00:39.686,00:40.852,00:01.166,00:00.027,2.37%,-0.0052137990614415,1.139
