Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:01.984,00:02.953,00:00.969,ninguna,00:01.774,00:02.870
02,00:02.953,00:04.046,00:01.093,ninguna,00:02.870,00:04.003
03,00:04.046,00:05.123,00:01.077,ninguna,00:04.003,00:05.102
04,00:05.123,00:06.692,00:01.569,gira,00:05.102,00:06.468
05,00:06.692,00:08.353,00:01.815,gira,00:06.468,00:08.001
06,00:08.353,00:09.446,00:01.193,ninguna,00:08.001,00:09.267
07,00:09.446,00:10.384,00:00.938,ninguna,00:09.267,00:10.400
08,00:10.384,00:11.615,00:01.231,ninguna,00:10.400,00:11.666
09,00:11.615,00:14.323,00:02.708,gira,00:11.666,00:14.431
10,00:14.323,00:15.476,00:01.153,ninguna,00:14.431,00:15.597
11,00:15.476,00:16.615,00:01.139,ninguna,00:15.597,00:16.763
12,00:16.615,00:17.830,00:01.215,gira,00:16.763,00:17.996
13,00:17.830,00:19.353,00:01.523,gira,00:17.996,00:19.462
14,00:19.353,00:20.646,00:01.293,ninguna,00:19.462,00:20.862
15,00:20.646,00:21.907,00:01.261,ninguna,00:20.862,00:22.128
16,00:21.907,00:23.138,00:01.231,ninguna,00:22.128,00:23.360
17,00:23.138,00:25.846,00:02.708,gira,00:23.360,00:26.059
18,00:25.846,00:26.953,00:01.107,ninguna,00:26.059,00:27.225
19,00:26.953,00:28.215,00:01.262,ninguna,00:27.225,00:28.458
20,00:28.215,00:29.646,00:01.421,gira,00:28.458,00:29.757
21,00:29.646,00:30.846,00:01.200,gira,00:29.757,00:31.123
22,00:31.138,00:32.092,00:01.154,ninguna,00:31.123,00:32.489
23,00:32.092,00:33.323,00:01.231,ninguna,00:32.489,00:33.756
24,00:33.323,00:37.430,00:04.107,gira,00:33.323,00:37.854
25,00:37.430,00:38.800,00:01.370,ninguna,00:37.854,00:39.086
26,00:38.800,00:40.030,00:01.220,ninguna,00:39.086,00:40.319
27,00:40.030,00:41.369,00:01.338,gira,00:40.319,00:41.552
28,00:41.369,00:42.969,00:01.400,gira,00:41.552,00:43.018
29,00:42.969,00:44.123,00:01.154,ninguna,00:43.018,00:44.451
30,00:44.123,00:45.307,00:01.184,ninguna,00:44.451,00:45.683
31,00:45.307,00:46.323,00:01.016,ninguna,00:45.683,00:46.916
32,00:46.323,00:49.707,00:03.384,gira,00:46.916,00:49.215
33,00:49.707,00:50.676,00:00.969,gira,00:49.215,00:50.048
34,00:50.676,00:51.923,00:01.247,ninguna,00:50.048,00:51.347
35,00:51.923,00:53.430,00:01.507,ninguna,00:51.347,00:52.614
36,00:53.430,00:55.123,00:01.693,gira,00:52.614,00:53.980
37,00:55.123,00:56.430,00:01.207,gira,00:53.980,00:55.479
38,00:56.430,00:57.753,00:01.323,ninguna,00:55.479,00:56.945
39,00:57.753,00:58.969,00:01.216,ninguna,00:56.945,00:58.211
40,00:58.969,01:01.815,00:02.846,gira,00:58.211,01:01.210
41,01:01.815,01:03.123,00:01.308,gira,01:01.210,01:02.676
42,01:03.123,01:04.369,00:01.246,ninguna,01:02.676,01:04.008
43,01:05.369,01:05.799,00:01.430,ninguna,01:04.008,01:05.247
44,01:05.799,01:07.261,00:01.462,gira,01:05.247,01:06.474
45,01:07.261,01:08.799,00:01.538,gira,01:06.474,01:08.106
46,01:08.799,01:10.153,00:01.354,niguna,01:08.106,01:09.772
47,01:10.153,01:11.369,00:01.216,ninguna,01:09.772,01:11.072
48,01:11.369,01:12.938,00:01.569,ninguna,01:11.072,01:12.371

