Inicio_zancada,Fin_zancada,Duración_zancada
00:01.984,00:02.184,00:00.200
00:02.184,00:02.953,00:00.769
00:02.953,00:04.046,00:01.093
00:04.046,00:05.123,00:01.077
00:05.123,00:06.538,00:01.415
00:06.538,00:06.692,00:00.154
00:06.692,00:08.123,00:01.431
00:08.123,00:08.353,00:00.230
00:08.353,00:09.230,00:00.877
00:09.230,00:09.446,00:00.216
00:09.446,00:10.384,00:00.938
00:10.384,00:11.615,00:01.231
00:11.615,00:14.323,00:02.708
00:14.323,00:15.476,00:01.153
00:15.476,00:16.615,00:01.139
00:16.615,00:17.830,00:01.215
00:17.830,00:19.353,00:01.523
00:19.353,00:19.646,00:00.293
00:19.646,00:20.646,00:01.000
00:20.646,00:21.907,00:01.261
00:21.907,00:22.123,00:00.216
00:22.123,00:23.138,00:01.015
00:23.138,00:25.846,00:02.708
00:25.846,00:26.953,00:01.107
00:26.953,00:28.215,00:01.262
00:28.215,00:29.461,00:01.246
00:29.461,00:29.646,00:00.185
00:29.646,00:30.846,00:01.200
00:30.846,00:31.138,00:00.292
00:31.138,00:32.092,00:00.954
00:32.092,00:33.323,00:01.231
00:33.323,00:37.430,00:04.107
00:37.430,00:38.646,00:01.216
00:38.646,00:38.800,00:00.154
00:38.800,00:39.830,00:01.030
00:39.830,00:40.030,00:00.200
00:40.030,00:41.184,00:01.154
00:41.184,00:41.369,00:00.185
00:41.369,00:42.661,00:01.292
00:42.661,00:42.969,00:00.308
00:42.969,00:43.892,00:00.923
00:43.892,00:44.123,00:00.231
00:44.123,00:45.092,00:00.969
00:45.092,00:45.307,00:00.215
00:45.307,00:46.323,00:01.016
00:46.323,00:49.492,00:03.169
00:49.492,00:49.707,00:00.215
00:49.707,00:50.676,00:00.969
00:50.676,00:51.923,00:01.247
00:51.923,00:53.276,00:01.353
00:53.276,00:53.430,00:00.154
00:53.430,00:54.861,00:01.431
00:54.861,00:55.123,00:00.262
00:55.123,00:56.276,00:01.153
00:56.276,00:56.430,00:00.154
00:56.430,00:57.461,00:01.031
00:57.461,00:57.753,00:00.292
00:57.753,00:58.738,00:00.985
00:58.738,00:58.969,00:00.231
00:58.969,01:01.815,00:02.846
01:01.815,01:03.123,00:01.308
01:03.123,01:04.369,00:01.246
01:04.369,01:05.630,00:01.261
01:05.630,01:05.799,00:00.169
01:05.799,01:07.261,00:01.462
01:07.261,01:07.446,00:00.185
01:07.446,01:07.600,00:00.154
01:07.600,01:08.799,00:01.199
01:08.799,01:08.969,00:00.170
01:08.969,01:09.138,00:00.169
01:09.138,01:10.153,00:01.015
01:10.153,01:10.338,00:00.185
01:10.338,01:11.369,00:01.031
01:11.369,01:12.769,00:01.400
01:12.769,01:12.938,00:00.169
01:12.938,01:13.092,00:00.154
01:13.092,01:14.507,00:01.415
01:14.507,01:14.861,00:00.354
