Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:02.353,00:03.430,00:01.077,ninguna,00:02.370,00:03.470
02,00:03.430,00:04.507,00:01.077,ninguna,00:03.470,00:04.569
03,00:04.507,00:05.661,00:01.154,ninguna,00:04.569,00:05.702
04,00:05.661,00:08.538,00:02.877,gira,00:05.702,00:08.634
05,00:08.538,00:09.707,00:01.169,ninguna,00:08.634,00:09.800
06,00:09.707,00:10.923,00:01.216,ninguna,00:09.800,00:11.033
07,00:10.923,00:12.215,00:01.292,ninguna,00:11.033,00:12.365
08,00:12.215,00:13.676,00:01.461,gira,00:12.365,00:13.732
09,00:13.676,00:14.830,00:01.154,ninguna,00:13.732,00:15.031
10,00:14.830,00:15.953,00:01.123,ninguna,00:15.031,00:16.197
11,00:15.953,00:17.123,00:01.170,ninguna,00:16.197,00:17.330
12,00:17.123,00:18.415,00:01.292,gira,00:17.330,00:18.663
14,00:18.415,00:19.953,00:01.538,gira,00:18.663,00:20.195
15,00:19.953,00:21.184,00:01.231,ninguna,00:20.195,00:21.461
16,00:21.184,00:22.384,00:01.200,ninguna,00:21.461,00:22.661
17,00:22.384,00:23.661,00:01.277,gira,00:22.661,00:23.960
18,00:23.661,00:24.938,00:01.277,gira,00:23.960,00:25.226
20,00:24.938,00:26.323,00:01.385,ninguna,00:25.226,00:26.659
21,00:26.323,00:27.446,00:01.123,ninguna,00:26.659,00:27.825
22,00:27.446,00:28.676,00:01.230,ninguna,00:27.825,00:29.091
23,00:28.676,00:29.953,00:01.277,gira,00:29.091,00:30.357
24,00:29.953,00:31.415,00:01.462,gira,00:30.357,00:31.790
25,00:31.415,00:32.630,00:01.215,ninguna,00:31.790,00:33.056
26,00:32.630,00:33.876,00:01.246,ninguna,00:33.056,00:34.355
27,00:33.876,00:35.338,00:01.462,gira,00:34.355,00:35.788
28,00:35.338,00:36.630,00:01.292,ninguna,00:35.788,00:37.021
29,00:36.630,00:37.953,00:01.323,ninguna,00:37.021,00:38.487
30,00:37.953,00:39.153,00:01.200,ninguna,00:38.487,00:39.686
31,00:39.153,00:40.292,00:01.139,ninguna,00:39.686,00:40.852
32,00:40.292,00:43.123,00:02.831,gira,00:40.852,00:43.718
33,00:43.123,00:44.384,00:01.261,ninguna,00:43.718,00:45.017
34,00:44.384,00:45.615,00:01.231,ninguna,00:45.017,00:46.250
35,00:45.615,00:46.923,00:01.308,gira,00:46.250,00:47.549
36,00:46.923,00:48.538,00:01.615,gira,00:47.549,00:49.182
37,00:48.538,00:49.984,00:01.446,ninguna,00:49.182,00:50.681
38,00:49.984,00:51.215,00:01.231,ninguna,00:50.681,00:51.947
39,00:51.215,00:52.492,00:01.277,ninguna,00:51.947,00:53.247
40,00:52.492,00:54.153,00:01.861,gira,00:53.247,00:54.646
41,00:54.153,00:55.415,00:01.262,gira,00:54.646,00:56.212
42,00:55.415,00:56.723,00:01.308,ninguna,00:56.212,00:57.545
43,00:56.723,00:58.015,00:01.292,ninguna,00:57.545,00:58.844
44,00:58.015,00:59.369,00:01.354,ninguna,00:58.844,01:00.210
45,00:59.369,01:01.076,00:01.707,gira,01:00.210,01:01.909
46,01:01.076,01:02.446,00:01.370,gira,01.01.909,01:03.375
47,01:02.446,01:03.646,00:01.200,ninguna,01:03.375,01:04.575
48,01:03.646,01:04.876,00:01.230,ninguna,01:04.575,01:05.841
49,01:04.876,01:06.292,00:01.416,gira,01:05.841,01:07.240
50,01:06.292,01:08.015,00:01.723,gira,01:07.240,01:09.006
51,01:08.015,01:09.323,00:01.308,ninguna,01:09.006,01:10.372
52,01:09.323,01:10.615,00:01.292,ninguna,01:10.372,01:11.638
53,01:10.615,01:11.984,00:01.369,ninguna,01:11.638,01:13.037

