Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:02.015625,00:03.000000,00:00.984375,ninguna,00:01.774000,00:02.875000,00:01.101000,00:00.116625,11.85%,0.9825231392323108
2,00:03.000000,00:04.093750,00:01.093750,ninguna,00:02.875000,00:04.011200,00:01.136200,00:00.042450,3.88%,0.0824046771991128
3,00:04.093750,00:05.218750,00:01.125000,ninguna,00:04.115000,00:05.129700,00:01.014699,-00:00.110299,-9.80%,-1.7712265337961146
6,00:08.218750,00:09.343750,00:01.125000,ninguna,00:07.940700,00:09.247500,00:01.306800,00:00.181800,16.16%,1.773426014365626
7,00:09.343750,00:10.531250,00:01.187500,ninguna,00:09.247500,00:10.446200,00:01.198700,00:00.011200,0.94%,-0.2968161106477013
8,00:10.531250,00:11.781250,00:01.250000,ninguna,00:10.446200,00:11.679300,00:01.233100,-00:00.016900,-1.35%,-0.6378114430795565
11,00:14.625000,00:15.703125,00:01.078125,ninguna,00:14.468700,00:15.638100,00:01.169400,00:00.091275,8.47%,0.674899236130975
12,00:15.703125,00:16.859375,00:01.156250,ninguna,00:15.638100,00:16.768200,00:01.130100,-00:00.026150,-2.26%,-0.7500607962822134
15,00:19.687500,00:20.968750,00:01.281250,ninguna,00:19.476700,00:20.867000,00:01.390299,00:00.109050,8.51%,0.8906000202582429
16,00:20.968750,00:22.218750,00:01.250000,ninguna,00:20.867000,00:22.133900,00:01.266900,00:00.016900,1.35%,-0.22764623894444244
17,00:22.218750,00:23.453125,00:01.234375,ninguna,00:22.133900,00:23.374900,00:01.241000,00:00.006625,0.54%,-0.3523340339884749
19,00:26.203125,00:27.375000,00:01.171875,ninguna,00:26.068700,00:27.273000,00:01.204300,00:00.032425,2.77%,-0.03924935154214514
20,00:27.375000,00:28.593750,00:01.218750,ninguna,00:27.273000,00:28.467000,00:01.194000,-00:00.024750,-2.03%,-0.7330717049866763
22,00:29.937500,00:31.375000,00:01.437500,ninguna,00:29.785200,00:31.152100,00:01.366900,-00:00.070600,-4.91%,-1.2894644449155217
23,00:31.375000,00:32.578125,00:01.203125,ninguna,00:31.152100,00:32.502600,00:01.350500,00:00.147375,12.25%,1.355676394473576
24,00:32.578125,00:33.859375,00:01.281250,ninguna,00:32.502600,00:33.742000,00:01.239400,-00:00.041850,-3.27%,-0.9405813200964529
26,00:38.015625,00:39.218750,00:01.203125,ninguna,00:37.952000,00:39.165500,00:01.213500,00:00.010375,0.86%,-0.30682753944685714
27,00:39.218750,00:40.421875,00:01.203125,ninguna,00:39.165500,00:40.342000,00:01.176499,-00:00.026625,-2.21%,-0.755824952257485
30,00:43.375000,00:44.531250,00:01.156250,ninguna,00:43.054500,00:44.452700,00:01.398200,00:00.241950,20.93%,2.503350186813174
31,00:44.531250,00:45.781250,00:01.250000,ninguna,00:44.452700,00:45.695400,00:01.242700,-00:00.007299,-0.58%,-0.5213148170530153
32,00:45.781250,00:47.015625,00:01.234375,ninguna,00:45.695400,00:46.938800,00:01.243400,00:00.009025,0.73%,-0.3232098774818396
34,00:50.265625,00:51.453125,00:01.187500,ninguna,00:49.995000,00:51.330800,00:01.335799,00:00.148300,12.49%,1.3669013297938413
35,00:51.453125,00:52.734375,00:01.281250,ninguna,00:51.330800,00:52.562900,00:01.232100,-00:00.049150,-3.84%,-1.0291672961374687
38,00:55.765625,00:57.203125,00:01.437500,ninguna,00:55.398700,00:56.954300,00:01.555600,00:00.118100,8.22%,1.0004223604186804
39,00:57.203125,00:58.343750,00:01.140625,ninguna,00:56.954300,00:58.219800,00:01.265500,00:00.124875,10.95%,1.0826374272238697
40,00:58.343750,00:59.656250,00:01.312500,ninguna,00:58.219800,00:59.556000,00:01.336200,00:00.023700,1.81%,-0.14512779550897567
42,01:02.781250,01:04.109375,00:01.328125,ninguna,01:02.690100,01:04.000430,00:01.310330,-00:00.017795,-1.34%,-0.6486723264434893
43,01:04.109375,01:05.453125,00:01.343750,ninguna,01:04.000430,01:05.243400,00:01.242970,-00:00.100779,-7.50%,-1.6557007129864607
44,01:05.453125,01:06.750000,00:01.296875,ninguna,01:05.243400,01:06.556200,00:01.312800,00:00.015925,1.23%,-0.23947792752526298
46,01:08.421875,01:09.937500,00:01.515625,ninguna,01:08.154700,01:09.743600,00:01.588900,00:00.073275,4.83%,0.4564680623312103
47,01:09.937500,01:11.156250,00:01.218750,ninguna,01:09.743600,01:11.053300,00:01.309699,00:00.090950,7.46%,0.6709553399373683
48,01:11.156250,01:12.468750,00:01.312500,ninguna,01:11.053300,01:12.386900,00:01.333600,00:00.021100,1.61%,-0.1766789650578306
