Zancada,Inicio,Fin,Duración,LR_dur,MSt_dur,TSt_dur,PSw_dur,Sw_dur
1,00:01.828125,00:02.953125,1.125,0.0769,0.3039,0.2999,0.0526,0.3917
2,00:02.953125,00:04.078125,1.125,0.0942,0.1501,0.4269,0.0434,0.4104
3,00:04.078125,00:05.187500,1.1094,0.0787,0.1161,0.443,0.057,0.4146
4,00:08.062500,00:09.296875,1.2344,0.2577,0.1657,0.2998,0.057,0.4542
5,00:09.296875,00:10.500000,1.2031,0.1209,0.1714,0.3815,0.0613,0.4682
6,00:10.500000,00:11.734375,1.2344,0.0872,0.1845,0.4726,0.0384,0.4518
7,00:14.500000,00:15.671875,1.1719,0.1069,0.1515,0.452,0.0467,0.4147
8,00:15.671875,00:16.828125,1.1562,0.0869,0.1735,0.4307,0.034,0.4311
9,00:19.562500,00:20.921875,1.3594,0.2232,0.187,0.4254,0.0441,0.4795
10,00:20.921875,00:22.187500,1.2656,0.1176,0.1259,0.5193,0.0365,0.4663
11,00:22.187500,00:23.406250,1.2188,0.0785,0.1946,0.4097,0.0597,0.4762
12,00:26.140625,00:27.328125,1.1875,0.1395,0.1504,0.4461,0.0404,0.4111
13,00:27.328125,00:28.546875,1.2188,0.1229,0.1027,0.4814,0.0347,0.4771
14,00:28.546875,00:29.812500,1.2656,0.0955,0.2183,0.3886,0.091,0.4722
15,00:29.812500,00:31.187500,1.375,0.0994,0.1852,0.5129,0.011,0.5665
16,00:31.187500,00:32.531250,1.3438,0.1318,0.3016,0.4039,0.0429,0.4635
17,00:32.531250,00:33.796875,1.2656,0.1058,0.1659,0.4931,0.0346,0.4662
18,00:37.968750,00:39.187500,1.2188,0.1218,0.1359,0.4961,0.0343,0.4306
19,00:39.187500,00:40.375000,1.1875,0.0637,0.1435,0.4754,0.0677,0.4372
20,00:43.109375,00:44.500000,1.3906,0.1531,0.3982,0.2942,0.0563,0.4889
21,00:44.500000,00:45.734375,1.2344,0.1264,0.1881,0.4045,0.0439,0.4715
22,00:45.734375,00:46.984375,1.25,0.11,0.1989,0.4522,0.0507,0.4382
23,00:50.109375,00:51.406250,1.2969,0.0859,0.2658,0.4332,0.0482,0.4638
24,00:51.406250,00:52.671875,1.2656,0.0878,0.0949,0.5719,0.046,0.4651
25,00:55.531250,00:56.984375,1.4531,0.0997,0.3847,0.4246,0.0505,0.4937
26,00:56.984375,00:58.281250,1.2969,0.1026,0.2621,0.4316,0.0479,0.4527
27,00:58.281250,00:59.609375,1.3281,0.1111,0.2264,0.4712,0.0494,0.4701
28,01:02.750000,01:04.046875,1.2969,0.0616,0.1664,0.5939,0.1465,0.3284
29,01:04.046875,01:05.296875,1.25,0.0701,0.0691,0.6043,0.0456,0.4609
30,01:05.296875,01:06.593750,1.2969,0.0625,0.1681,0.5152,0.0421,0.5091
31,01:06.593750,01:08.234375,1.6406,0.1271,0.228,0.6147,0.0871,0.5838
32,01:08.234375,01:09.781250,1.5469,0.1226,0.5117,0.3797,0.0371,0.4957
33,01:09.781250,01:11.078125,1.2969,0.1019,0.2741,0.4068,0.0514,0.4627
34,01:11.078125,01:12.421875,1.3438,0.1429,0.2052,0.4467,0.0538,0.4952
