Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:02.353,00:03.430,00:01.077,ninguna,00:02.370,00:03.470,00:01.100,00:00.023,2.14%,-0.1035311527914815
2,00:03.430,00:04.507,00:01.077,ninguna,00:03.470,00:04.569,00:01.099,00:00.022,2.04%,-0.1281104912239915
3,00:04.507,00:05.661,00:01.154,ninguna,00:04.569,00:05.702,00:01.133,-00:00.021,-1.82%,-1.1850220438219214
5,00:08.538,00:09.707,00:01.169,ninguna,00:08.634,00:09.800,00:01.166,-00:00.003,-0.26%,-0.7425939520367414
6,00:09.707,00:10.923,00:01.216,ninguna,00:09.800,00:11.033,00:01.233,00:00.017,1.40%,-0.2510071833865414
7,00:10.923,00:12.215,00:01.292,ninguna,00:11.033,00:12.365,00:01.332,00:00.040,3.10%,0.3143176005611884
9,00:13.676,00:14.830,00:01.154,ninguna,00:13.732,00:15.031,00:01.299,00:00.145,12.56%,2.895148135974738
10,00:14.830,00:15.953,00:01.123,ninguna,00:15.031,00:16.197,00:01.166,00:00.043,3.83%,0.3880556158587183
11,00:15.953,00:17.123,00:01.170,ninguna,00:16.197,00:17.330,00:01.133,-00:00.037,-3.16%,-1.578291458742081
15,00:19.953,00:21.184,00:01.231,ninguna,00:20.195,00:21.461,00:01.266,00:00.035,2.84%,0.1914209083986385
16,00:21.184,00:22.384,00:01.200,ninguna,00:21.461,00:22.661,00:01.200,00:00.000,0.00%,-0.6688559367392114
20,00:24.938,00:26.323,00:01.385,ninguna,00:25.226,00:26.659,00:01.433,00:00.048,3.47%,0.5109523080212685
21,00:26.323,00:27.446,00:01.123,ninguna,00:26.659,00:27.825,00:01.166,00:00.043,3.83%,0.3880556158587183
22,00:27.446,00:28.676,00:01.230,ninguna,00:27.825,00:29.091,00:01.266,00:00.036,2.93%,0.2160002468311484
25,00:31.415,00:32.630,00:01.215,ninguna,00:31.790,00:33.056,00:01.266,00:00.051,4.20%,0.5846903233187983
26,00:32.630,00:33.876,00:01.246,ninguna,00:33.056,00:34.355,00:01.299,00:00.053,4.25%,0.6338490001838184
28,00:35.338,00:36.630,00:01.292,ninguna,00:35.788,00:37.021,00:01.233,-00:00.059,-4.57%,-2.1190369042573014
29,00:36.630,00:37.953,00:01.323,ninguna,00:37.021,00:38.487,00:01.466,00:00.143,10.81%,2.8459894591097177
30,00:37.953,00:39.153,00:01.200,ninguna,00:38.487,00:39.686,00:01.199,-00:00.001,-0.08%,-0.6934352751717214
31,00:39.153,00:40.292,00:01.139,ninguna,00:39.686,00:40.852,00:01.166,00:00.027,2.37%,-0.0052137990614415
33,00:43.123,00:44.384,00:01.261,ninguna,00:43.718,00:45.017,00:01.299,00:00.038,3.01%,0.2651589236961684
34,00:44.384,00:45.615,00:01.231,ninguna,00:45.017,00:46.250,00:01.233,00:00.002,0.16%,-0.6196972598741914
37,00:48.538,00:49.984,00:01.446,ninguna,00:49.182,00:50.681,00:01.499,00:00.053,3.67%,0.6338490001838184
38,00:49.984,00:51.215,00:01.231,ninguna,00:50.681,00:51.947,00:01.266,00:00.035,2.84%,0.1914209083986385
39,00:51.215,00:52.492,00:01.277,ninguna,00:51.947,00:53.247,00:01.300,00:00.023,1.80%,-0.1035311527914815
42,00:55.415,00:56.723,00:01.308,ninguna,00:56.212,00:57.545,00:01.333,00:00.025,1.91%,-0.0543724759264614
43,00:56.723,00:58.015,00:01.292,ninguna,00:57.545,00:58.844,00:01.299,00:00.007,0.54%,-0.4968005677116414
44,00:58.015,00:59.369,00:01.354,ninguna,00:58.844,01:00.210,00:01.366,00:00.012,0.89%,-0.3739038755490914
47,01:02.446,01:03.646,00:01.200,ninguna,01:03.375,01:04.575,00:01.200,00:00.000,0.00%,-0.6688559367392114
48,01:03.646,01:04.876,00:01.230,ninguna,01:04.575,01:05.841,00:01.266,00:00.036,2.93%,0.2160002468311484
51,01:08.015,01:09.323,00:01.308,ninguna,01:09.006,01:10.372,00:01.366,00:00.058,4.43%,0.7567456923463685
52,01:09.323,01:10.615,00:01.292,ninguna,01:10.372,01:11.638,00:01.266,-00:00.026,-2.01%,-1.3079187359844713
53,01:10.615,01:11.984,00:01.369,ninguna,01:11.638,01:13.037,00:01.399,00:00.030,2.19%,0.0685242162360884
