Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
01,00:02.015625,00:03.000000,00:00.984375,ninguna,00:01.774000,00:02.875000
02,00:03.000000,00:04.093750,00:01.093750,ninguna,00:02.875000,00:04.011200
03,00:04.093750,00:05.218750,00:01.125000,ninguna,00:04.115000,00:05.129700
04,00:05.218750,00:06.812500,00:01.593750,gira,00:05.129700,00:06.431400
05,00:06.812500,00:08.218750,00:01.406250,gira,00:06.431400,00:07.940700
06,00:08.218750,00:09.343750,00:01.125000,ninguna,00:07.940700,00:09.247500
07,00:09.343750,00:10.531250,00:01.187500,ninguna,00:09.247500,00:10.446200
08,00:10.531250,00:11.781250,00:01.250000,ninguna,00:10.446200,00:11.679300
09,00:11.781250,00:13.250000,00:01.468750,gira,00:11.679300,00:13.075400
10,00:13.250000,00:14.625000,00:01.375000,gira,00:13.075400,00:14.468700
11,00:14.625000,00:15.703125,00:01.078125,ninguna,00:14.468700,00:15.638100
12,00:15.703125,00:16.859375,00:01.156250,ninguna,00:15.638100,00:16.768200
13,00:16.859375,00:18.093750,00:01.234375,gira,00:17.768200,00:18.010100
14,00:18.093750,00:19.687500,00:01.593750,gira,00:18.010100,00:19.476700
15,00:19.687500,00:20.968750,00:01.281250,ninguna,00:19.476700,00:20.867000
16,00:20.968750,00:22.218750,00:01.250000,ninguna,00:20.867000,00:22.133900
17,00:22.218750,00:23.453125,00:01.234375,ninguna,00:22.133900,00:23.374900
18,00:23.453125,00:26.203125,00:02.750000,gira,00:23.374900,00:26.068700
19,00:26.203125,00:27.375000,00:01.171875,ninguna,00:26.068700,00:27.273000
20,00:27.375000,00:28.593750,00:01.218750,ninguna,00:27.273000,00:28.467000
21,00:28.593750,00:29.937500,00:01.343750,gira,00:28.467000,00:29.785200
22,00:29.937500,00:31.375000,00:01.437500,ninguna,00:29.785200,00:31.152100
23,00:31.375000,00:32.578125,00:01.203125,ninguna,00:31.152100,00:32.502600
24,00:32.578125,00:33.859375,00:01.281250,ninguna,00:32.502600,00:33.742000
25,00:33.859375,00:38.015625,00:04.156250,gira,00:33.742000,00:37.952000
26,00:38.015625,00:39.218750,00:01.203125,ninguna,00:37.952000,00:39.165500
27,00:39.218750,00:40.421875,00:01.203125,ninguna,00:39.165500,00:40.342000
28,00:40.421875,00:41.828125,00:01.406250,gira,00:40.342000,00:41.627100
29,00:41.828125,00:43.375000,00:01.546875,gira,00:41.627100,00:43.054500
30,00:43.375000,00:44.531250,00:01.156250,ninguna,00:43.054500,00:44.452700
31,00:44.531250,00:45.781250,00:01.250000,ninguna,00:44.452700,00:45.695400
32,00:45.781250,00:47.015625,00:01.234375,ninguna,00:45.695400,00:46.938800
33,00:47.015625,00:50.265625,00:03.250000,gira,00:46.938800,00:49.995000
34,00:50.265625,00:51.453125,00:01.187500,ninguna,00:49.995000,00:51.330800
35,00:51.453125,00:52.734375,00:01.281250,ninguna,00:51.330800,00:52.562900
36,00:52.734375,00:54.171875,00:01.437500,gira,00:52.592900,00:53.928600
37,00:54.171875,00:55.765625,00:01.593750,gira,00:53.928600,00:55.398700
38,00:55.765625,00:57.203125,00:01.437500,ninguna,00:55.398700,00:56.954300
39,00:57.203125,00:58.343750,00:01.140625,ninguna,00:56.954300,00:58.219800
40,00:58.343750,00:59.656250,00:01.312500,ninguna,00:58.219800,00:59.556000
41,00:59.656250,01:02.781250,00:03.125000,gira,00:59.556000,01:02.690100
42,01:02.781250,01:04.109375,00:01.328125,ninguna,01:02.690100,01:04.000430
43,01:04.109375,01:05.453125,00:01.343750,ninguna,01:04.000430,01:05.243400
44,01:05.453125,01:06.750000,00:01.296875,ninguna,01:05.243400,01:06.556200
45,01:06.750000,01:08.421875,00:01.671875,gira,01:06.556200,01:08.154700
46,01:08.421875,01:09.937500,00:01.515625,ninguna,01:08.154700,01:09.743600
47,01:09.937500,01:11.156250,00:01.218750,ninguna,01:09.743600,01:11.053300
48,01:11.156250,01:12.468750,00:01.312500,ninguna,01:11.053300,01:12.386900

